window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.8190366117210108,1,,163,100
1,11,811,0.6836248375741868,1,,162,100
2,14,814,0.7237297722407532,1,,161,100
3,19,819,0.7599914590484111,1,,159,100
4,25,825,0.7654367298977867,1,,158,100
5,33,833,0.762048375363069,1,,155,100
6,40,840,0.72557478784811,1,,153,100
7,51,851,0.7071640990664001,1,,151,100
8,56,856,0.7275261707384743,1,,151,100
9,65,865,0.8141272653591511,1,,149,100
10,69,869,0.8634925125968157,1,,148,100
11,73,873,0.8387588161193404,1,,148,100
12,81,881,0.8233484480898214,1,,146,100
13,86,886,0.8444285134008568,1,,145,100
14,89,889,0.8229535372617937,1,,144,100
15,97,897,0.8202089961508967,1,,143,100
16,101,901,0.8219807312361462,1,,142,100
17,104,904,0.8537469063785006,1,,141,100
18,111,911,0.8645357674891023,1,,140,100
19,120,920,0.8275018282627703,1,,138,100
20,129,929,0.8680718133488253,1,,136,100
21,134,934,0.8811989376358602,1,,135,100
22,138,938,0.878782206856575,1,,135,100
23,144,944,0.8772747829880811,1,,133,100
24,154,954,0.9159891850216118,1,,132,100
25,161,961,0.8757032868155336,1,,131,100
26,165,965,0.8855019867050735,1,,130,100
27,170,970,0.9014388477860609,1,,129,100
28,181,981,0.8831339957938926,1,,128,100
29,188,988,0.8925798486782951,1,,128,100
30,195,995,0.8442107878687545,1,,126,100
31,198,998,0.924722608602512,1,,125,100
32,202,1002,0.9430635641578597,1,,125,100
33,211,1011,0.8872281113950684,1,,120,100
34,215,1015,0.8724521225537815,1,,120,100
35,224,1024,0.8849164249381921,1,,118,100
36,227,1027,0.8590538862363971,1,,119,100
37,236,1036,0.801693571469725,1,,116,100
38,240,1040,0.8436991433563453,1,,114,100
39,244,1044,0.848904689315666,1,,112,100
40,248,1048,0.8361599744967373,1,,111,100
41,252,1052,0.8082312967924101,1,,110,100
42,259,1059,0.7633795355298879,1,,108,100
43,269,1069,0.7745242427511312,1,,104,100
44,273,1073,0.7492487503002472,1,,105,100
45,284,1084,0.7394215494855897,1,,102,100
46,289,1089,0.7420620808074465,1,,101,100
