window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.8939223981701784,1,,166,100
1,12,812,0.5906312753587227,1,,166,100
2,15,815,0.6465756450381648,1,,166,100
3,22,822,0.6568641297452571,1,,168,100
4,31,831,0.6602935350861653,1,,166,100
5,36,836,0.639022037700573,1,,166,100
6,39,839,0.7605516469647795,1,,167,100
7,47,847,0.6324123723645598,1,,168,100
8,50,850,0.6050312230332949,1,,167,100
9,54,854,0.698837729242647,1,,168,100
10,61,861,0.6923740612209662,1,,170,100
11,71,871,0.6327854324141773,1,,168,100
12,73,873,0.6106634709154263,1,,168,100
13,78,878,0.5462164436251797,1,,168,100
14,81,881,0.6048916143493184,1,,168,100
15,86,886,0.6414962300504151,1,,169,100
16,95,895,0.6005803948828461,1,,169,100
17,99,899,0.6068330886826755,1,,170,100
18,110,910,0.49089131814700077,1,,172,100
19,124,924,0.5052322819325127,1,,174,100
20,130,930,0.31332372251430357,1,,174,100
21,135,935,0.3897458655826582,1,,173,100
22,148,948,0.22203705841827537,1,,173,100
23,151,951,0.23125460117130833,1,,174,100
24,156,956,0.19679794774997397,1,,174,100
25,159,959,0.26947880651933953,1,,173,100
26,163,963,0.2873284362068659,1,,174,100
27,172,972,0.3468505027627599,1,,175,100
28,180,980,0.1796989541583087,1,,176,100
29,193,993,0.21292602975725725,1,,176,100
30,203,1003,0.25925786617895596,1,,178,100
31,211,1011,0.29504383751974117,1,,180,100
32,222,1022,0.3465540187199592,1,,179,100
33,226,1026,0.3326084184746781,1,,180,100
34,233,1033,0.687862659137609,1,,178,100
35,236,1036,0.7211324245348202,1,,177,100
36,241,1041,0.7255947059898368,1,,175,100
37,247,1047,0.7412179427152873,1,,174,100
38,255,1055,0.7142430145542256,1,,171,100
39,262,1062,0.7073249725109131,1,,169,100
40,271,1071,0.7274789654267059,1,,168,100
41,283,1083,0.6595482919708651,1,,165,100
42,295,1095,0.6516430245485781,1,,161,100
43,302,1102,0.6433685489776535,1,,159,100
44,307,1107,0.6481883670049357,1,,158,100
45,314,1114,0.5893654678729416,1,,156,100
46,317,1117,0.6777243300662844,1,,155,100
47,321,1121,0.6637756131519844,1,,155,100
48,331,1131,0.6529292843542219,1,,152,100
49,335,1135,0.7465771566099794,1,,151,100
50,338,1138,0.727972924261669,1,,151,100
51,345,1145,0.7735488225783469,1,,150,100
52,353,1153,0.7251393402910509,1,,148,100
53,356,1156,0.777865516882904,1,,148,100
54,361,1161,0.7209890963427995,1,,146,100
55,365,1165,0.7059299647224675,1,,146,100
56,374,1174,0.7243525409939889,1,,144,100
57,377,1177,0.7215452013201274,1,,144,100
58,387,1187,0.6960480549725544,1,,141,100
59,390,1190,0.7229406475020599,1,,140,100
60,393,1193,0.8417653289328412,1,,139,100
61,397,1197,0.83330034806518,1,,137,100
62,405,1205,0.776980710361307,1,,136,100
63,408,1208,0.7817987296385049,1,,135,100
64,412,1212,0.8181887150342945,1,,135,100
65,422,1222,0.8794998107978949,1,,133,100
66,435,1235,0.8694159373855151,1,,129,100
67,439,1239,0.8686153147415081,1,,129,100
68,445,1245,0.9037461129680919,1,,127,100
69,455,1255,0.9217024513566856,1,,126,100
70,462,1262,0.8901623487567251,1,,125,100
71,466,1266,0.8789811833801531,1,,124,100
72,471,1271,0.9061850178995663,1,,123,100
73,482,1282,0.8681498835419869,1,,122,100
74,489,1289,0.8865146524856117,1,,121,100
75,495,1295,0.8309041931887421,1,,120,100
76,498,1298,0.8168915393031999,1,,120,100
77,507,1307,0.7642257946757884,1,,118,100
78,510,1310,0.7949451127019815,1,,117,100
79,514,1314,0.8145409452524375,1,,117,100
80,521,1321,0.82973221273856,1,,115,100
81,524,1324,0.8424833587706247,1,,116,100
82,536,1336,0.8431893016595037,1,,114,100
83,545,1345,0.7909204365083855,1,,112,100
84,548,1348,0.9034510391181344,1,,111,100
85,552,1352,0.9044750600173382,1,,111,100
86,563,1363,0.946646181608743,1,,106,100
87,567,1367,0.9436844081893682,1,,106,100
88,576,1376,0.9269388628086891,1,,104,100
89,579,1379,0.9241157799297866,1,,105,100
90,588,1388,0.9028017683653934,1,,102,100
91,592,1392,0.9139685251169279,1,,100,100
92,597,1397,0.8017362818066118,1,,100,100
