window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.15783786432681035,1,,197,100
1,5,805,0.057302395809791525,1,,193,100
2,9,809,0.04300855063603568,1,,192,100
3,14,814,0.042697954202790094,1,,190,100
4,17,817,0.04894394377363421,1,,189,100
5,20,820,0.036351641642223986,1,,188,100
6,30,830,0.02969596068416373,1,,184,100
7,32,832,0.02210906961542752,1,,183,100
8,38,838,0.022515993581009877,1,,182,100
9,42,842,0.027234435534913157,1,,181,100
10,49,849,0.008606680338096532,1,,177,100
11,54,854,0.03362926762982459,1,,173,100
12,57,857,0.11065695614312061,1,,172,100
13,64,864,0.12446006099296089,1,,169,100
14,67,867,0.0841864109138873,1,,168,100
15,70,870,0.14840556886375156,1,,167,100
16,74,874,0.12453626542305342,1,,166,100
17,79,879,0.0730800841058757,1,,165,100
18,82,882,0.09717111548010428,1,,164,100
19,88,888,0.08491551211832668,1,,164,100
20,98,898,0.08284820798387074,1,,160,100
21,101,901,0.0888660243133184,1,,160,100
22,109,909,0.07974702832088304,1,,157,100
23,112,912,0.051350535612554184,1,,157,100
24,119,919,0.01968744712900058,1,,154,100
25,123,923,0.014508531816609086,1,,154,100
26,129,929,0.01571689930771282,1,,153,100
27,138,938,0.009309219344266591,1,,148,100
28,143,943,0.3277653043343745,1,,144,100
29,146,946,0.22637658087464946,1,,143,100
30,156,956,0.11999336538283514,1,,141,100
31,159,959,0.11786453181483793,1,,141,100
32,165,965,0.19488140566516768,1,,138,100
33,168,968,0.22302907414869994,1,,138,100
34,176,976,0.2688786799422864,1,,135,100
35,179,979,0.25215729576210677,1,,134,100
36,182,982,0.26643177545650193,1,,133,100
37,186,986,0.26820110899854543,1,,132,100
38,192,992,0.1930683715593231,1,,131,100
39,195,995,0.2099121608055484,1,,130,100
40,209,1009,0.29404387864901044,1,,126,100
41,213,1013,0.2957049045640188,1,,125,100
42,217,1017,0.2154508722378097,1,,124,100
43,224,1024,0.3783480282583187,1,,122,100
44,231,1031,0.47074427999552276,1,,117,100
45,236,1036,0.03983061669662438,1,,113,100
46,241,1041,0.016935810234545413,1,,110,100
47,248,1048,0.017134888119549833,1,,109,100
48,250,1050,0.01979804278807945,1,,108,100
49,255,1055,0.015144957892727792,1,,107,100
50,263,1063,0.01776269783618295,1,,106,100
51,267,1067,0.01942693654430073,1,,106,100
52,274,1074,0.020207917337801997,1,,104,100
53,277,1077,0.037359401979541185,1,,103,100
54,281,1081,0.030575848906929375,1,,102,100
55,288,1088,0.037235814095327224,1,,101,100
56,291,1091,0.0348318449377087,1,,101,100
