window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.5354822323011673,1,,202,100
1,10,810,0.6913628880745368,1,,203,100
2,13,813,0.6067241420469679,1,,204,100
3,20,820,0.6205804568728508,1,,204,100
4,25,825,0.6469309477436544,1,,204,100
5,31,831,0.7528112230195403,1,,200,100
6,40,840,0.6925862348718279,1,,198,100
7,43,843,0.6335158973935505,1,,198,100
8,50,850,0.6780746657605521,1,,196,100
9,55,855,0.6923247707274239,1,,196,100
10,65,865,0.5914710664015732,1,,192,100
11,72,872,0.6230650837130809,1,,191,100
12,75,875,0.5704225961486514,1,,191,100
13,82,882,0.6027599550247451,1,,189,100
14,87,887,0.5792240589799216,1,,188,100
15,96,896,0.6729930118339656,1,,185,100
16,104,904,0.6730596869979444,1,,184,100
17,107,907,0.6133016026870463,1,,184,100
18,114,914,0.6335207745932918,1,,182,100
19,119,919,0.6222790468359538,1,,182,100
20,132,932,0.6601347042542604,1,,178,100
21,137,937,0.7699891511195538,1,,176,100
22,140,940,0.7423536523249835,1,,176,100
23,147,947,0.7588428010248647,1,,174,100
24,152,952,0.7557405496117418,1,,173,100
25,160,960,0.665585065565452,1,,170,100
26,167,967,0.4818155748334622,1,,168,100
27,170,970,0.4326610185799248,1,,168,100
28,177,977,0.47805154553129453,1,,166,100
29,182,982,0.546781540171152,1,,166,100
30,189,989,0.5968905297031988,1,,162,100
31,201,1001,0.44502823907200234,1,,161,100
32,209,1009,0.344022617992663,1,,157,100
33,217,1017,0.383322649673101,1,,156,100
34,223,1023,0.38716139264239663,1,,155,100
35,230,1030,0.2824291684637798,1,,152,100
36,238,1038,0.2473256476874606,1,,152,100
37,245,1045,0.3843922262056457,1,,150,100
38,248,1048,0.5015057203629486,1,,149,100
39,254,1054,0.4712286062983361,1,,148,100
40,258,1058,0.5340220837409169,1,,147,100
41,265,1065,0.5751266816034932,1,,144,100
42,274,1074,0.37600627290111527,1,,144,100
43,287,1087,0.431782309140426,1,,140,100
44,293,1093,0.36217908218469863,1,,138,100
45,301,1101,0.009389717521482096,1,,134,100
46,308,1108,0.3997520329647067,1,,133,100
47,315,1115,0.4798456765637423,1,,132,100
48,321,1121,0.15671380648389635,1,,131,100
49,326,1126,0.09879837760898875,1,,131,100
50,336,1136,0.04282429751184197,1,,127,100
51,343,1143,0.06389355986557013,1,,127,100
52,354,1154,0.002557675898538097,1,,124,100
53,364,1164,0.08702744862604032,1,,120,100
54,367,1167,0.07562157442176307,1,,119,100
55,371,1171,0.05708011334895546,1,,118,100
56,376,1176,0.06083169068134664,1,,117,100
57,379,1179,0.44921565607109415,1,,116,100
58,390,1190,0.44505549208732287,1,,114,100
59,397,1197,0.5333914783537561,1,,112,100
60,401,1201,0.5136987567122765,1,,112,100
61,412,1212,0.217716719484137,1,,109,100
62,415,1215,0.3430990396686526,1,,109,100
63,422,1222,0.37761276570785557,1,,105,100
64,428,1228,0.5928876534804545,1,,104,100
65,435,1235,0.46745072366194845,1,,103,100
66,438,1238,0.4099604031638042,1,,102,100
67,444,1244,0.15146837304552566,1,,100,100
68,448,1248,0.4778691440093984,1,,100,100
