window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.7553598195609422,1,,196,100
1,5,805,0.49470150478151226,1,,194,100
2,8,808,0.43640314317831774,1,,194,100
3,13,813,0.3084849828062865,1,,195,100
4,17,817,0.2694924410882546,1,,193,100
5,30,830,0.31997236091102,1,,194,100
6,39,839,0.3154019346846643,1,,194,100
7,48,848,0.10597974745331687,1,,196,100
8,53,853,0.10505976808768552,1,,196,100
9,57,857,0.09818682054345815,1,,194,100
10,64,864,0.02000390185128751,1,,194,100
11,73,873,0.005601608773394907,1,,192,100
12,80,880,0.00246129450824168,1,,190,100
13,83,883,0.009463011153096806,1,,191,100
14,88,888,0.003533204144763096,1,,189,100
15,91,891,0.00218745834616831,1,,189,100
16,97,897,0.002123098855306806,1,,191,100
17,105,905,0.06730467093076596,1,,191,100
18,114,914,0.04987072063982911,1,,194,100
19,119,919,0.076564564869201,1,,194,100
20,128,928,0.3839655100063821,1,,194,100
21,134,934,0.3559888911020995,1,,192,100
22,137,937,0.4558426025118444,1,,191,100
23,148,948,0.5029809871509051,1,,193,100
24,153,953,0.7500750391966656,1,,192,100
25,163,963,0.7419559706543878,1,,194,100
26,170,970,0.7574231186523565,1,,195,100
27,173,973,0.8131576752371462,1,,194,100
28,180,980,0.7632646064436771,1,,196,100
29,185,985,0.774109347931255,1,,197,100
30,190,990,0.7281815151414304,1,,198,100
31,193,993,0.7684164597856665,1,,196,100
32,196,996,0.7599278003662834,1,,195,100
33,198,998,0.7984524273125384,1,,196,100
34,207,1007,0.8158217337034798,1,,196,100
35,215,1015,0.7832031239418007,1,,195,100
36,219,1019,0.7519264230259812,1,,195,100
37,223,1023,0.7845397815637665,1,,196,100
38,232,1032,0.8155212017338213,1,,197,100
39,243,1043,0.8346062780401496,1,,198,100
40,246,1046,0.8150178027109686,1,,198,100
41,262,1062,0.728732313911789,1,,199,100
42,266,1066,0.7356355591507001,1,,198,100
43,269,1069,0.7962103504671407,1,,198,100
44,273,1073,0.8204034230380751,1,,198,100
45,281,1081,0.7567818418131844,1,,196,100
46,284,1084,0.7933533248748799,1,,197,100
47,298,1098,0.6416356239142372,1,,196,100
48,303,1103,0.7072600984273129,1,,195,100
49,313,1113,0.6854448795100624,1,,196,100
50,323,1123,0.7166981930109707,1,,200,100
51,329,1129,0.7428184170795967,1,,199,100
52,333,1133,0.7562925873572138,1,,199,100
53,340,1140,0.7623364617479083,1,,200,100
54,343,1143,0.7551686175334357,1,,202,100
55,351,1151,0.5638197965105914,1,,198,100
56,354,1154,0.4456452937903793,1,,197,100
57,359,1159,0.40083182102707865,1,,197,100
58,368,1168,0.48903453958526283,1,,195,100
59,377,1177,0.27372441012870335,1,,193,100
60,381,1181,0.2635842978456671,1,,192,100
61,385,1185,0.3458690769390013,1,,191,100
62,389,1189,0.25637409370855674,1,,190,100
63,399,1199,0.282720653468237,1,,189,100
64,408,1208,0.19439772506684944,1,,188,100
65,411,1211,0.24366086607940735,1,,187,100
66,415,1215,0.027923984825241065,1,,185,100
67,424,1224,0.00039716026193376756,0,,183,100
68,427,1227,0.0006157477112922686,0,,182,100
69,431,1231,0.00035267694783292934,0,,181,100
70,438,1238,2.1229814435850186e-08,0,,180,100
71,446,1246,0.0,0,,178,100
72,449,1249,0.0,0,,177,100
