window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.2844248295277949,1,,209,100
1,10,810,0.24496094710287866,1,,206,100
2,20,820,0.04393922131476319,1,,204,100
3,30,830,0.029575734981815757,1,,205,100
4,40,840,0.11783975344487883,1,,203,100
5,50,850,0.14480900282283848,1,,204,100
6,60,860,0.12365431112812357,1,,203,100
7,70,870,0.09669007884307616,1,,203,100
8,80,880,0.03002134788406726,1,,206,100
9,90,890,1.0724809221631445e-36,0,,202,100
10,100,900,2.9751404314245936e-35,0,,203,100
11,110,910,1.4279884082813403e-48,0,,202,100
12,120,920,9.998612034086816e-50,0,,203,100
13,130,930,3.641089069577533e-46,0,,205,100
14,140,940,3.2584362627777445e-45,0,,205,100
15,150,950,2.49185476477898e-43,0,,206,100
16,160,960,7.44708450387978e-38,0,,208,100
17,170,970,2.109575300551683e-37,0,,208,100
18,180,980,1.516500401696681e-36,0,,206,100
19,190,990,1.653040648379765e-36,0,,210,100
20,200,1000,1.2643642564164895e-30,0,,211,100
21,210,1010,8.460437989268937e-22,0,,212,100
22,220,1020,1.908056876814539e-19,0,,211,100
23,230,1030,5.50143356636893e-15,0,,211,100
24,240,1040,8.793738269805634e-08,0,,211,100
25,250,1050,3.23557762583483e-09,0,,212,100
26,260,1060,5.956753823280468e-11,0,,212,100
27,270,1070,2.1636738668386845e-16,0,,212,100
28,280,1080,3.14068907940755e-13,0,,215,100
29,290,1090,5.931752688600464e-12,0,,214,100
30,300,1100,5.497072298972367e-11,0,,216,100
31,310,1110,5.767915195457127e-07,0,,212,100
32,320,1120,3.966883067849954e-06,0,,213,100
33,330,1130,8.465732972503016e-07,0,,211,100
34,340,1140,7.368693333742879e-10,0,,211,100
35,350,1150,3.257900143699019e-08,0,,212,100
36,360,1160,3.65466992448903e-08,0,,211,100
37,370,1170,1.4418659679874465e-08,0,,210,100
38,380,1180,4.644887924689029e-07,0,,208,100
39,390,1190,1.544820130970852e-06,0,,207,100
40,400,1200,7.148233298001302e-08,0,,206,100
41,410,1210,4.706185516116831e-10,0,,205,100
42,420,1220,6.316838007997857e-10,0,,205,100
43,430,1230,7.476236080289033e-08,0,,206,100
44,440,1240,1.2453005810386246e-10,0,,210,100
45,450,1250,1.4517437186650587e-09,0,,210,100
46,460,1260,3.8174903151121893e-10,0,,210,100
47,470,1270,2.274098123276302e-07,0,,211,100
48,480,1280,9.013540942268463e-09,0,,208,100
49,490,1290,2.6167203415134223e-08,0,,212,100
50,500,1300,1.3966323253297412e-09,0,,214,100
51,510,1310,1.5034849624352012e-10,0,,213,100
52,520,1320,6.4667912762230165e-09,0,,213,100
53,530,1330,3.7953019546761267e-06,0,,213,100
54,540,1340,5.29841125314428e-09,0,,212,100
55,550,1350,8.48146046446118e-10,0,,210,100
56,560,1360,3.0782443840232955e-07,0,,209,100
57,570,1370,2.557854930248769e-12,0,,210,100
58,580,1380,2.3871371717011558e-11,0,,207,100
59,590,1390,6.296697739384588e-25,0,,209,100
60,600,1400,2.113282117445663e-23,0,,206,100
61,610,1410,7.704457729121505e-11,0,,207,100
62,620,1420,1.7913015280188065e-21,0,,208,100
63,630,1430,6.70425741245728e-16,0,,208,100
64,640,1440,2.6335230498601224e-18,0,,208,100
65,650,1450,1.296033640549737e-13,0,,208,100
66,660,1460,3.037964461910027e-11,0,,208,100
67,670,1470,1.8997280241555034e-08,0,,207,100
68,680,1480,9.790756006441422e-07,0,,207,100
69,690,1490,6.0633922226860994e-06,0,,206,100
70,700,1500,2.740329145995012e-05,0,,205,100
71,710,1510,2.2824353301780142e-05,0,,204,100
72,720,1520,7.055308397549331e-05,0,,205,100
73,730,1530,3.233341501551012e-05,0,,206,100
74,740,1540,8.42143162257475e-05,0,,207,100
75,750,1550,2.6972960383470475e-05,0,,206,100
76,760,1560,9.743302071989656e-05,0,,207,100
77,770,1570,5.481778007933634e-05,0,,209,100
78,780,1580,7.973624907810592e-05,0,,208,100
79,790,1590,0.00031743746162448457,0,,209,100
80,800,1600,0.0001815869483933825,0,,209,100
81,810,1610,0.00019134420230266583,0,,209,100
82,820,1620,0.0010052557899105077,1,,207,100
83,830,1630,0.00047034539663399827,0,,205,100
84,840,1640,0.0013844380863573115,1,,207,100
85,850,1650,0.0008094955433936645,0,,206,100
86,860,1660,0.0014685667565732244,1,,208,100
87,870,1670,0.029511163111603685,1,,208,100
88,880,1680,0.0640281374659637,1,,208,100
89,890,1690,0.0643357799019968,1,,207,100
90,900,1700,1.4296409148595113e-07,0,,210,100
91,910,1710,8.508445251263771e-05,0,,208,100
92,920,1720,3.8999861885351565e-05,0,,207,100
93,930,1730,4.2923005861248785e-05,0,,209,100
94,940,1740,5.024245909890357e-06,0,,207,100
95,950,1750,2.6717328095819667e-07,0,,206,100
96,960,1760,5.949055227285559e-06,0,,204,100
97,970,1770,1.4248344547670139e-05,0,,205,100
98,980,1780,8.339982474047724e-05,0,,206,100
99,990,1790,0.00037548974515436465,0,,206,100
100,1000,1800,9.355372734654205e-05,0,,205,100
101,1010,1810,0.00013851050470506187,0,,204,100
102,1020,1820,0.0004738788708933378,0,,207,100
103,1030,1830,0.00015937411098295454,0,,207,100
104,1040,1840,2.9885714525208284e-05,0,,205,100
105,1050,1850,2.9807218291708173e-05,0,,206,100
106,1060,1860,2.1158826652931683e-06,0,,206,100
107,1070,1870,1.0894161548201988e-06,0,,205,100
108,1080,1880,4.933838283188631e-08,0,,202,100
109,1090,1890,4.234435905165677e-08,0,,204,100
110,1100,1900,1.8837013841570766e-07,0,,204,100
111,1110,1910,4.047106820934422e-07,0,,204,100
112,1120,1920,8.241060349376337e-06,0,,204,100
113,1130,1930,7.966170961111162e-05,0,,204,100
114,1140,1940,0.004304628937878972,1,,203,100
115,1150,1950,3.213251628337334e-05,0,,204,100
116,1160,1960,1.3440524141544662e-05,0,,207,100
117,1170,1970,2.8498374636431994e-06,0,,207,100
118,1180,1980,0.00010799556498617557,0,,208,100
119,1190,1990,2.4581501119064848e-05,0,,209,100
120,1200,2000,1.4145697125341134e-15,0,,209,100
121,1210,2010,3.3028498295953053e-13,0,,211,100
122,1220,2020,9.78370899604834e-11,0,,212,100
123,1230,2030,1.8481816606751836e-08,0,,212,100
124,1240,2040,2.3651097533502484e-15,0,,209,100
125,1250,2050,7.384420763360634e-16,0,,208,100
126,1260,2060,6.589934334182356e-12,0,,206,100
127,1270,2070,1.0079379734467268e-10,0,,209,100
128,1280,2080,6.988751817857506e-10,0,,210,100
129,1290,2090,6.496443885119713e-09,0,,206,100
130,1300,2100,4.992798017825253e-08,0,,205,100
131,1310,2110,1.4438064657729492e-07,0,,207,100
132,1320,2120,1.0094376905933072e-07,0,,207,100
133,1330,2130,3.261413271063975e-08,0,,207,100
134,1340,2140,1.0028543710728437e-09,0,,207,100
135,1350,2150,4.0546875876223976e-10,0,,209,100
136,1360,2160,9.251457889817401e-10,0,,208,100
137,1370,2170,1.5207476287793843e-10,0,,210,100
138,1380,2180,1.095954578112627e-09,0,,209,100
139,1390,2190,2.9894499138767747e-10,0,,209,100
140,1400,2200,4.161040814993114e-11,0,,210,100
141,1410,2210,1.971493186567232e-12,0,,209,100
142,1420,2220,7.74302961105818e-15,0,,209,100
143,1430,2230,2.5261944100057954e-14,0,,210,100
144,1440,2240,3.408785817869877e-11,0,,208,100
145,1450,2250,8.974815301156234e-11,0,,209,100
146,1460,2260,7.167367118686825e-12,0,,208,100
147,1470,2270,7.709026266195056e-12,0,,207,100
148,1480,2280,3.2120051638204336e-15,0,,209,100
149,1490,2290,5.5404666229625085e-15,0,,210,100
150,1500,2300,1.3055800006624103e-14,0,,211,100
151,1510,2310,9.175581470058873e-16,0,,211,100
152,1520,2320,8.414967154859023e-14,0,,210,100
153,1530,2330,2.160237380212403e-15,0,,209,100
154,1540,2340,2.8882111273996907e-15,0,,208,100
155,1550,2350,4.723757867319234e-15,0,,208,100
156,1560,2360,2.101608892656896e-14,0,,209,100
157,1570,2370,7.485850744987459e-15,0,,209,100
158,1580,2380,1.663695325959408e-13,0,,211,100
159,1590,2390,2.4918016984476435e-09,0,,210,100
160,1600,2400,6.517462340735393e-08,0,,213,100
161,1610,2410,2.9942749317752117e-08,0,,214,100
162,1620,2420,3.2402247308233736e-07,0,,215,100
163,1630,2430,2.5400647059620343e-08,0,,215,100
164,1640,2440,1.3613142219192239e-06,0,,217,100
165,1650,2450,1.666078468832529e-08,0,,215,100
166,1660,2460,3.565625508305318e-38,0,,216,100
167,1670,2470,5.5778186976224913e-42,0,,216,100
168,1680,2480,6.206823205451851e-39,0,,214,100
169,1690,2490,7.529638358129453e-42,0,,214,100
170,1700,2500,2.496409126542732e-41,0,,213,100
171,1710,2510,1.4591349760306774e-42,0,,215,100
172,1720,2520,6.019845841487548e-42,0,,216,100
173,1730,2530,5.093442583302538e-44,0,,215,100
174,1740,2540,2.2872547097457933e-44,0,,217,100
175,1750,2550,1.3321754553915422e-45,0,,216,100
176,1760,2560,2.6491566933535996e-45,0,,216,100
177,1770,2570,2.826611705891417e-46,0,,215,100
178,1780,2580,1.0465071234137053e-50,0,,214,100
179,1790,2590,7.143842505798524e-48,0,,218,100
180,1800,2600,1.2506197206007153e-51,0,,217,100
181,1810,2610,3.970289491100758e-49,0,,215,100
182,1820,2620,1.3808637369578603e-45,0,,214,100
183,1830,2630,4.442927806416996e-44,0,,211,100
184,1840,2640,2.179791222111125e-43,0,,214,100
185,1850,2650,3.978402832302062e-42,0,,213,100
186,1860,2660,2.0121960168039653e-40,0,,215,100
187,1870,2670,1.26390164784469e-37,0,,214,100
188,1880,2680,2.890340897646852e-35,0,,214,100
189,1890,2690,9.03120442830727e-35,0,,216,100
190,1900,2700,1.4086466253342575e-30,0,,215,100
191,1910,2710,2.9048622290093533e-25,0,,213,100
192,1920,2720,9.063084724698026e-25,0,,214,100
193,1930,2730,5.921921633473125e-20,0,,214,100
194,1940,2740,3.069743572587658e-17,0,,214,100
195,1950,2750,1.3575550789093548e-15,0,,215,100
196,1960,2760,8.26965175953107e-09,0,,213,100
197,1970,2770,2.2622841229119586e-06,0,,213,100
198,1980,2780,2.007426482747655e-05,0,,211,100
199,1990,2790,1.263766017698564e-05,0,,212,100
200,2000,2800,8.19108705297455e-10,0,,211,100
201,2010,2810,2.67514726278955e-10,0,,211,100
202,2020,2820,2.513061675397078e-09,0,,210,100
203,2030,2830,6.6180990380382316e-09,0,,210,100
204,2040,2840,1.1323843874612395e-08,0,,211,100
205,2050,2850,2.5531637098333987e-08,0,,213,100
206,2060,2860,3.2814627887408257e-09,0,,215,100
207,2070,2870,1.0907665926582822e-10,0,,211,100
208,2080,2880,2.908395321502705e-10,0,,212,100
209,2090,2890,6.029086157062409e-10,0,,214,100
210,2100,2900,4.356874418874372e-08,0,,215,100
211,2110,2910,1.3901021214626191e-08,0,,211,100
212,2120,2920,5.514194924266306e-10,0,,213,100
213,2130,2930,8.88706841204272e-09,0,,214,100
214,2140,2940,2.083598212343737e-13,0,,211,100
215,2150,2950,5.545051356924547e-10,0,,213,100
216,2160,2960,1.9094163003148911e-28,0,,214,100
217,2170,2970,5.264219171545847e-24,0,,213,100
218,2180,2980,8.65026027133873e-18,0,,214,100
219,2190,2990,2.2873321452904346e-15,0,,214,100
220,2200,3000,7.17971157113076e-17,0,,214,100
221,2210,3010,3.774694593582261e-19,0,,214,100
222,2220,3020,4.0138519690713965e-16,0,,213,100
223,2230,3030,2.8739020445989246e-16,0,,215,100
224,2240,3040,3.205553572674312e-08,0,,217,100
225,2250,3050,1.4263733791722855e-14,0,,219,100
226,2260,3060,3.1993037714056392e-06,0,,217,100
227,2270,3070,4.876902549489232e-10,0,,217,100
228,2280,3080,4.087994379998972e-11,0,,217,100
229,2290,3090,1.2384084325376455e-09,0,,216,100
230,2300,3100,4.4441752182721864e-08,0,,214,100
231,2310,3110,1.9245225019175727e-05,0,,215,100
232,2320,3120,7.3621212707201284e-06,0,,216,100
233,2330,3130,2.497091722531832e-05,0,,217,100
234,2340,3140,2.1821950240364978e-05,0,,217,100
235,2350,3150,0.000109186931343513,0,,218,100
236,2360,3160,2.373034534762644e-06,0,,218,100
237,2370,3170,0.00033628173752884926,0,,218,100
238,2380,3180,6.457608914502467e-05,0,,220,100
239,2390,3190,0.0015193485581616924,1,,216,100
240,2400,3200,0.00188723215584081,1,,215,100
241,2410,3210,0.0005302972614639463,0,,213,100
242,2420,3220,0.0004293805864324723,0,,213,100
243,2430,3230,0.0010626792759689948,1,,213,100
244,2440,3240,0.0018378384866720376,1,,210,100
245,2450,3250,0.003823722714141036,1,,212,100
246,2460,3260,0.0016291269334443124,1,,213,100
247,2470,3270,0.0011656274884723331,1,,212,100
248,2480,3280,0.003294943323895501,1,,214,100
249,2490,3290,0.001184928087334632,1,,214,100
250,2500,3300,0.00017481393786742061,0,,213,100
251,2510,3310,5.790756935838909e-05,0,,210,100
252,2520,3320,1.4869417863384471e-06,0,,214,100
253,2530,3330,8.825210923531714e-05,0,,211,100
254,2540,3340,0.028251856035214924,1,,213,100
255,2550,3350,0.01270646723497695,1,,211,100
256,2560,3360,0.006212726611678464,1,,211,100
257,2570,3370,0.0014953997472680568,1,,211,100
258,2580,3380,0.011317366556204831,1,,210,100
259,2590,3390,0.0035080639327784526,1,,207,100
260,2600,3400,0.0035749596852875988,1,,207,100
261,2610,3410,0.004201964281957112,1,,206,100
262,2620,3420,0.004130803720211465,1,,208,100
263,2630,3430,0.0029768825519182183,1,,209,100
264,2640,3440,0.0013055758168771664,1,,209,100
265,2650,3450,0.0007727699075693051,0,,209,100
266,2660,3460,8.177781508682085e-06,0,,208,100
267,2670,3470,1.2838944666210875e-05,0,,209,100
268,2680,3480,2.3789151243087073e-07,0,,209,100
269,2690,3490,1.5341555853456073e-07,0,,208,100
270,2700,3500,1.2307822545689014e-07,0,,208,100
271,2710,3510,9.740599205537522e-07,0,,207,100
272,2720,3520,3.58048574494385e-06,0,,207,100
273,2730,3530,2.559269977400509e-07,0,,206,100
274,2740,3540,1.8138953590680043e-08,0,,204,100
