window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,5.202899008591697e-29,0,,177,100
1,10,810,1.201402055841212e-31,0,,176,100
2,20,820,1.649399238947514e-37,0,,174,100
3,30,830,4.720901911548245e-40,0,,172,100
4,40,840,2.6503809087437883e-45,0,,169,100
5,50,850,3.037570835511632e-50,0,,163,100
6,60,860,2.0908866464190552e-55,0,,161,100
7,70,870,1.3174300437570781e-58,0,,159,100
8,80,880,9.790294096124913e-58,0,,161,100
9,90,890,3.1517532731891222e-62,0,,162,100
10,100,900,6.283038808037435e-63,0,,161,100
11,110,910,5.866705449947102e-64,0,,161,100
12,120,920,7.927572096420152e-63,0,,164,100
13,130,930,2.3203543009069827e-60,0,,163,100
14,140,940,1.845602858378469e-59,0,,164,100
15,150,950,2.053981014099898e-62,0,,162,100
16,160,960,7.568920080329591e-64,0,,161,100
17,170,970,4.406644109706379e-59,0,,159,100
18,180,980,4.537866400370605e-58,0,,160,100
19,190,990,4.644867695087199e-58,0,,160,100
20,200,1000,1.1229303172748e-60,0,,160,100
21,210,1010,2.833455049931506e-60,0,,157,100
22,220,1020,1.5214258698616613e-63,0,,155,100
23,230,1030,1.6168885208600298e-64,0,,158,100
24,240,1040,1.6743164402971735e-60,0,,157,100
25,250,1050,4.77969680678032e-58,0,,156,100
26,260,1060,9.56715295469459e-59,0,,156,100
27,270,1070,1.609485341654664e-54,0,,157,100
28,280,1080,2.780804551577868e-48,0,,153,100
29,290,1090,5.977733663371442e-51,0,,153,100
30,300,1100,5.5757538706063236e-55,0,,152,100
31,310,1110,8.540688491586374e-55,0,,151,100
32,320,1120,8.595695298210796e-59,0,,151,100
33,330,1130,2.8418020797614385e-56,0,,151,100
34,340,1140,2.306168002428038e-55,0,,151,100
35,350,1150,1.1906853292311484e-57,0,,152,100
36,360,1160,2.997067830582378e-62,0,,154,100
37,370,1170,1.3533145853371699e-60,0,,153,100
38,380,1180,8.42818718541051e-59,0,,155,100
39,390,1190,6.71858008631882e-60,0,,156,100
40,400,1200,1.2060320742257368e-59,0,,156,100
41,410,1210,3.329907081311394e-57,0,,156,100
42,420,1220,2.580534016464563e-54,0,,158,100
43,430,1230,7.472729926344008e-57,0,,157,100
44,440,1240,4.615637981655399e-53,0,,160,100
45,450,1250,5.602283839384014e-54,0,,161,100
46,460,1260,1.2718083617143485e-52,0,,160,100
47,470,1270,3.3355075886259067e-52,0,,160,100
48,480,1280,1.737230564066319e-50,0,,160,100
49,490,1290,3.557960067028736e-53,0,,160,100
50,500,1300,4.2623146318786465e-55,0,,163,100
51,510,1310,1.21721613526809e-52,0,,163,100
52,520,1320,1.176584791331396e-51,0,,161,100
53,530,1330,3.424961316224729e-49,0,,161,100
54,540,1340,1.4795668670575643e-48,0,,165,100
55,550,1350,1.6005756145932637e-47,0,,165,100
56,560,1360,1.794048528638586e-47,0,,169,100
57,570,1370,1.8587853678500666e-48,0,,168,100
58,580,1380,5.511644664884408e-42,0,,169,100
59,590,1390,1.1502938275115604e-41,0,,171,100
60,600,1400,7.835248472608533e-41,0,,172,100
61,610,1410,1.3298299125217785e-36,0,,171,100
62,620,1420,4.1812868804887705e-36,0,,171,100
63,630,1430,7.675729397707969e-34,0,,171,100
64,640,1440,4.967690422215945e-32,0,,175,100
65,650,1450,4.87846594124887e-32,0,,177,100
66,660,1460,2.63428951194166e-32,0,,182,100
67,670,1470,1.63669224863835e-33,0,,184,100
68,680,1480,9.220107345058124e-33,0,,188,100
69,690,1490,1.2851975154709243e-33,0,,188,100
70,700,1500,6.3015416818680445e-34,0,,189,100
71,710,1510,2.3106583402393737e-32,0,,189,100
72,720,1520,4.3453532292666915e-33,0,,193,100
73,730,1530,1.3193805506881086e-33,0,,198,100
74,740,1540,5.336080928941498e-33,0,,199,100
75,750,1550,5.616034005570798e-36,0,,198,100
76,760,1560,5.314895772398258e-38,0,,198,100
77,770,1570,2.009065190427014e-33,0,,198,100
78,780,1580,1.9697750953235398e-32,0,,198,100
79,790,1590,1.7321150458197187e-30,0,,200,100
80,800,1600,3.233180586635878e-31,0,,200,100
81,810,1610,6.60457336471536e-34,0,,199,100
82,820,1620,9.031980155171403e-35,0,,201,100
83,830,1630,1.1868010825995354e-35,0,,203,100
84,840,1640,4.9003082029434165e-37,0,,203,100
85,850,1650,1.2896290608822625e-38,0,,202,100
86,860,1660,3.395740083241294e-37,0,,203,100
87,870,1670,2.4908405089338583e-35,0,,202,100
88,880,1680,9.381394381807423e-36,0,,199,100
89,890,1690,4.12772508450072e-38,0,,198,100
90,900,1700,2.9015969775503735e-37,0,,199,100
91,910,1710,7.3761200056988524e-37,0,,198,100
92,920,1720,7.531205314850157e-38,0,,196,100
93,930,1730,3.5858226329393854e-36,0,,197,100
94,940,1740,5.396104212124464e-36,0,,198,100
95,950,1750,1.4696190854558822e-35,0,,200,100
96,960,1760,2.880681082122074e-35,0,,201,100
97,970,1770,3.232221808518388e-33,0,,200,100
98,980,1780,5.920761879831285e-29,0,,198,100
99,990,1790,5.2267306381025015e-28,0,,197,100
100,1000,1800,4.670587102708122e-28,0,,202,100
101,1010,1810,4.4676376052821317e-29,0,,202,100
