window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.02921013100950515,1,,228,100
1,10,810,0.01736075812486681,1,,223,100
2,20,820,0.015088142843723206,1,,222,100
3,30,830,0.04282044947291534,1,,219,100
4,40,840,0.0009693452666069983,0,,219,100
5,50,850,0.0004335417797889957,0,,218,100
6,60,860,0.00014652614532752482,0,,220,100
7,70,870,9.537597707530562e-05,0,,221,100
8,80,880,9.36914717042978e-05,0,,222,100
9,90,890,0.00011206809802868833,0,,222,100
10,100,900,1.8754644989683703e-06,0,,222,100
11,110,910,0.00033464905095639434,0,,221,100
12,120,920,0.00021596008425570456,0,,218,100
13,130,930,8.448344697149418e-05,0,,221,100
14,140,940,7.262660093908656e-05,0,,220,100
15,150,950,9.827252030931726e-05,0,,220,100
16,160,960,3.634451100194062e-05,0,,218,100
17,170,970,6.902276522760054e-05,0,,217,100
18,180,980,9.400572163880933e-05,0,,215,100
19,190,990,6.026904502406071e-05,0,,216,100
20,200,1000,8.389339246342255e-05,0,,215,100
21,210,1010,0.006610772070552308,1,,214,100
22,220,1020,0.005443723623943884,1,,213,100
23,230,1030,0.007921413282932836,1,,211,100
24,240,1040,0.00198904085899094,1,,212,100
25,250,1050,0.0022881323125879525,1,,212,100
26,260,1060,0.005127676644258616,1,,213,100
27,270,1070,0.0028770697708539465,1,,214,100
28,280,1080,0.004783526963436241,1,,215,100
29,290,1090,0.004340892925971581,1,,214,100
30,300,1100,0.007028447560565263,1,,216,100
31,310,1110,0.010983931711096451,1,,216,100
32,320,1120,0.0044979818522156495,1,,216,100
33,330,1130,0.003283742241154099,1,,216,100
34,340,1140,0.010413317019898224,1,,215,100
35,350,1150,0.027434400040326955,1,,217,100
36,360,1160,1.563524418033607e-05,0,,217,100
37,370,1170,1.4036992528781327e-05,0,,216,100
38,380,1180,1.3200243665514864e-05,0,,215,100
39,390,1190,2.6473048756383393e-06,0,,219,100
40,400,1200,2.411947940742713e-06,0,,217,100
41,410,1210,1.148920262269375e-06,0,,217,100
42,420,1220,6.165226769109744e-08,0,,219,100
43,430,1230,1.1609743968582276e-06,0,,218,100
44,440,1240,9.368306993429626e-07,0,,217,100
45,450,1250,1.323164839569842e-07,0,,218,100
46,460,1260,6.648507589392846e-06,0,,219,100
47,470,1270,5.703701134356295e-16,0,,218,100
48,480,1280,2.2894763972259353e-15,0,,218,100
49,490,1290,2.909401313531397e-14,0,,217,100
50,500,1300,4.074255928229302e-16,0,,216,100
51,510,1310,1.0717147888605963e-18,0,,215,100
52,520,1320,1.3495126507636085e-14,0,,213,100
53,530,1330,3.085238559186516e-19,0,,216,100
54,540,1340,7.123673212352152e-24,0,,217,100
55,550,1350,1.8512958968936575e-18,0,,215,100
56,560,1360,5.6173269015132945e-21,0,,218,100
57,570,1370,5.784761020342692e-21,0,,219,100
58,580,1380,1.5583049973602387e-21,0,,222,100
59,590,1390,9.266744420725104e-23,0,,225,100
60,600,1400,2.1720729738304425e-19,0,,225,100
61,610,1410,9.346087919053461e-24,0,,226,100
62,620,1420,6.141770199197477e-21,0,,226,100
63,630,1430,4.151502080584247e-15,0,,226,100
64,640,1440,9.298868167844967e-12,0,,225,100
65,650,1450,1.0286207650381898e-10,0,,227,100
66,660,1460,9.564446492783342e-12,0,,228,100
67,670,1470,4.307876154563902e-11,0,,228,100
68,680,1480,1.6342088939948673e-10,0,,227,100
69,690,1490,1.144364942477046e-07,0,,226,100
70,700,1500,2.3482590565981625e-06,0,,225,100
71,710,1510,2.7452619034394925e-05,0,,223,100
72,720,1520,0.0013941209761229663,1,,223,100
73,730,1530,0.0014359987171278842,1,,222,100
74,740,1540,0.027094280223040605,1,,220,100
75,750,1550,0.004502775486818185,1,,219,100
76,760,1560,0.037713919210680194,1,,216,100
77,770,1570,0.019556958133653803,1,,215,100
78,780,1580,0.027333436781389026,1,,214,100
79,790,1590,0.03929885634574842,1,,213,100
80,800,1600,0.028493716333319884,1,,213,100
81,810,1610,0.01379155319279719,1,,213,100
82,820,1620,0.1211545533855255,1,,213,100
83,830,1630,0.05224692249914398,1,,211,100
84,840,1640,0.06250398674502158,1,,211,100
85,850,1650,0.042940399524015176,1,,213,100
86,860,1660,0.01698520671344538,1,,213,100
87,870,1670,0.034572851084990246,1,,213,100
88,880,1680,0.006032664218306026,1,,212,100
89,890,1690,0.002925139033947415,1,,213,100
90,900,1700,0.0026917819141208128,1,,211,100
91,910,1710,0.0035147475156265045,1,,212,100
92,920,1720,0.012031673153637446,1,,210,100
93,930,1730,0.002166394727760848,1,,208,100
94,940,1740,0.0006268142534781174,0,,208,100
95,950,1750,0.0005674557805681724,0,,207,100
96,960,1760,0.0001598793131759715,0,,209,100
97,970,1770,0.0004056128479174825,0,,209,100
98,980,1780,0.00040716488020719647,0,,207,100
99,990,1790,0.0002741928044390597,0,,206,100
100,1000,1800,2.141632574824224e-05,0,,204,100
101,1010,1810,1.8284582608508183e-05,0,,205,100
102,1020,1820,2.9761755387987674e-05,0,,205,100
103,1030,1830,5.2726190934575425e-05,0,,207,100
104,1040,1840,6.271665360911029e-05,0,,207,100
105,1050,1850,4.5409230775968924e-05,0,,206,100
106,1060,1860,0.0005520675106926758,0,,205,100
107,1070,1870,0.0022065310690611907,1,,204,100
108,1080,1880,0.0009834126732592293,0,,203,100
109,1090,1890,3.728943163285127e-05,0,,203,100
110,1100,1900,7.498860752140914e-05,0,,205,100
111,1110,1910,4.7090799896938675e-05,0,,204,100
112,1120,1920,0.0024292373455919755,1,,200,100
113,1130,1930,0.0028577434818635216,1,,199,100
114,1140,1940,0.0053266693292034345,1,,199,100
115,1150,1950,0.002622595673753457,1,,201,100
116,1160,1960,0.0017137965341500945,1,,203,100
117,1170,1970,0.0005270118858483566,0,,203,100
118,1180,1980,0.00031336601863268105,0,,204,100
119,1190,1990,0.0019865550620829227,1,,204,100
120,1200,2000,0.00428828255963806,1,,203,100
121,1210,2010,0.00148429246674395,1,,203,100
122,1220,2020,0.006188704939353511,1,,205,100
123,1230,2030,0.0046764311648319155,1,,202,100
124,1240,2040,0.0014804733471559185,1,,201,100
125,1250,2050,0.001239049561371024,1,,200,100
126,1260,2060,0.0006748323142296181,0,,200,100
127,1270,2070,0.0014410938271226898,1,,200,100
128,1280,2080,0.0018449877203948729,1,,203,100
129,1290,2090,0.007241490678157656,1,,203,100
130,1300,2100,0.0057573374770637014,1,,203,100
131,1310,2110,0.0009573959418216475,0,,204,100
132,1320,2120,0.007809445401260845,1,,204,100
133,1330,2130,0.00011304760782493446,0,,203,100
134,1340,2140,0.00016759935305918567,0,,204,100
135,1350,2150,0.00038466118579525967,0,,203,100
136,1360,2160,6.142501601027689e-05,0,,202,100
137,1370,2170,0.0017009537172051508,1,,199,100
138,1380,2180,0.007007928292433632,1,,196,100
139,1390,2190,0.0013328312776271693,1,,197,100
140,1400,2200,6.743276244566232e-05,0,,198,100
141,1410,2210,1.1974671326938512e-06,0,,198,100
142,1420,2220,4.834847161434836e-07,0,,197,100
143,1430,2230,0.11466645723507371,1,,197,100
144,1440,2240,0.09085996439563074,1,,198,100
145,1450,2250,0.1229409269728806,1,,194,100
146,1460,2260,0.13956133118340283,1,,192,100
147,1470,2270,0.17626568001262732,1,,192,100
148,1480,2280,0.20465800098808418,1,,191,100
149,1490,2290,0.22414474131465997,1,,190,100
