window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.599090196473561e-36,0,,215,100
1,10,810,9.756580287588763e-36,0,,213,100
2,20,820,5.038417122978402e-37,0,,209,100
3,30,830,1.4191654578715023e-38,0,,207,100
4,40,840,1.1161098575202413e-33,0,,202,100
5,50,850,4.3661483621652445e-33,0,,202,100
6,60,860,1.566226161532185e-35,0,,204,100
7,70,870,3.4666362080255503e-32,0,,209,100
8,80,880,1.1688196543825668e-32,0,,209,100
9,90,890,1.0327271642078639e-36,0,,208,100
10,100,900,4.746503583596133e-40,0,,207,100
11,110,910,2.1892945283693989e-41,0,,209,100
12,120,920,2.1370866013782499e-44,0,,209,100
13,130,930,4.950196667833605e-43,0,,211,100
14,140,940,1.9658292371128603e-42,0,,213,100
15,150,950,1.2166653105725216e-41,0,,211,100
16,160,960,1.2428224554601127e-40,0,,211,100
17,170,970,1.4350587305617483e-38,0,,212,100
18,180,980,2.7055764407746993e-42,0,,213,100
19,190,990,4.490361891350916e-40,0,,210,100
20,200,1000,1.5552574422489385e-37,0,,208,100
21,210,1010,8.728810293355455e-41,0,,210,100
22,220,1020,2.6923098815685653e-40,0,,209,100
23,230,1030,6.826345201589727e-42,0,,213,100
24,240,1040,4.104228563460561e-43,0,,212,100
25,250,1050,3.858335362262623e-46,0,,211,100
26,260,1060,1.2266260981437346e-48,0,,212,100
27,270,1070,1.1757822277422818e-47,0,,212,100
28,280,1080,1.7651012984954136e-48,0,,214,100
29,290,1090,1.0300502407511405e-45,0,,213,100
30,300,1100,3.862486548618096e-45,0,,216,100
31,310,1110,4.4499896650855334e-46,0,,217,100
32,320,1120,1.4293536891983512e-41,0,,217,100
33,330,1130,2.256696943699992e-41,0,,214,100
34,340,1140,1.279978134920469e-41,0,,214,100
35,350,1150,8.386274523639192e-43,0,,216,100
36,360,1160,6.9692940581666286e-46,0,,215,100
37,370,1170,4.663274343499276e-44,0,,216,100
38,380,1180,2.913828438236177e-43,0,,221,100
39,390,1190,2.8390493510333865e-43,0,,219,100
40,400,1200,2.1060377476763816e-45,0,,220,100
41,410,1210,6.253045578038769e-44,0,,219,100
42,420,1220,6.464860705716347e-44,0,,217,100
43,430,1230,1.9063312075048866e-43,0,,218,100
44,440,1240,4.53011911444357e-44,0,,217,100
45,450,1250,1.2308058641876468e-39,0,,218,100
46,460,1260,9.45994579359359e-42,0,,219,100
47,470,1270,2.042749277270145e-42,0,,220,100
48,480,1280,2.8225565018011548e-43,0,,218,100
49,490,1290,3.2773828048963516e-42,0,,218,100
50,500,1300,4.686669076635871e-46,0,,218,100
51,510,1310,6.018020157066534e-44,0,,219,100
52,520,1320,4.0547955834845506e-46,0,,220,100
53,530,1330,4.617529068331405e-47,0,,218,100
54,540,1340,6.823399965702193e-46,0,,216,100
55,550,1350,3.293233481656031e-44,0,,218,100
56,560,1360,2.5471732753084576e-45,0,,219,100
57,570,1370,1.805383589375549e-46,0,,219,100
58,580,1380,2.196204071603442e-47,0,,218,100
59,590,1390,2.1905486628934343e-45,0,,219,100
60,600,1400,1.4568637140833325e-43,0,,219,100
61,610,1410,6.148230837176951e-43,0,,222,100
62,620,1420,1.3046070701896044e-41,0,,220,100
63,630,1430,2.1242927520857572e-39,0,,219,100
64,640,1440,4.0421359176985165e-39,0,,217,100
65,650,1450,2.4676143612115687e-41,0,,218,100
66,660,1460,5.87831354136767e-39,0,,216,100
67,670,1470,1.2967013609648507e-39,0,,217,100
68,680,1480,9.621311308923407e-40,0,,216,100
69,690,1490,9.574923073810257e-41,0,,215,100
70,700,1500,1.930762763342669e-39,0,,211,100
71,710,1510,4.929155410764262e-36,0,,213,100
72,720,1520,9.772103752789613e-37,0,,212,100
73,730,1530,2.830240199087366e-40,0,,212,100
74,740,1540,8.396880634414733e-35,0,,211,100
75,750,1550,1.756657406431953e-33,0,,213,100
76,760,1560,4.2620636222802765e-33,0,,213,100
77,770,1570,6.620164501452455e-33,0,,214,100
78,780,1580,2.52522338845973e-36,0,,214,100
79,790,1590,3.3605600241049645e-39,0,,213,100
80,800,1600,4.738216912786246e-42,0,,215,100
81,810,1610,5.669950050078435e-45,0,,214,100
82,820,1620,1.8927328231568735e-43,0,,213,100
83,830,1630,7.045539314394429e-43,0,,213,100
84,840,1640,1.3127332107455009e-42,0,,214,100
85,850,1650,1.8700887588999165e-42,0,,217,100
86,860,1660,1.7959669939381334e-45,0,,215,100
87,870,1670,1.7861626275909475e-44,0,,209,100
88,880,1680,4.861505363877005e-43,0,,210,100
89,890,1690,5.493853657317547e-45,0,,210,100
90,900,1700,4.1686640248345137e-47,0,,210,100
91,910,1710,1.6887717389905175e-47,0,,208,100
92,920,1720,2.7264024525088192e-48,0,,210,100
93,930,1730,4.1069421001189803e-48,0,,210,100
94,940,1740,1.7658476229981145e-47,0,,211,100
95,950,1750,1.3222909052161777e-45,0,,212,100
96,960,1760,3.48522543781915e-49,0,,213,100
97,970,1770,9.15866307562925e-48,0,,210,100
98,980,1780,1.386348744627799e-47,0,,210,100
99,990,1790,2.0402705488824124e-49,0,,211,100
100,1000,1800,5.868589362245711e-50,0,,211,100
101,1010,1810,6.793963232850116e-52,0,,210,100
