window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.0,0,,285,100
1,6,806,0.0,0,,283,100
2,12,812,0.0,0,,284,100
3,18,818,0.0,0,,284,100
4,22,822,0.0,0,,284,100
5,28,828,0.0,0,,284,100
6,40,840,0.0,0,,285,100
7,51,851,0.0,0,,283,100
8,57,857,0.0,0,,283,100
9,61,861,0.0,0,,283,100
10,64,864,0.0,0,,284,100
11,72,872,0.0,0,,285,100
12,79,879,0.0,0,,285,100
13,90,890,0.0,0,,286,100
14,93,893,0.0,0,,286,100
15,100,900,0.0,0,,286,100
16,103,903,0.0,0,,287,100
17,110,910,0.0,0,,286,100
18,116,916,0.0,0,,286,100
19,124,924,0.0,0,,286,100
20,127,927,0.0,0,,286,100
21,132,932,0.0,0,,285,100
22,135,935,0.0,0,,286,100
23,141,941,0.0,0,,287,100
24,149,949,0.0,0,,286,100
25,154,954,0.0,0,,287,100
26,162,962,0.0,0,,288,100
27,175,975,0.0,0,,288,100
28,183,983,0.0,0,,287,100
29,191,991,0.0,0,,284,100
30,196,996,0.0,0,,282,100
31,199,999,0.0,0,,281,100
32,207,1007,0.0,0,,278,100
33,210,1010,0.0,0,,276,100
34,213,1013,0.0,0,,276,100
35,221,1021,0.0,0,,274,100
36,232,1032,0.0,0,,270,100
37,237,1037,0.0,0,,267,100
38,242,1042,0.0,0,,266,100
39,248,1048,0.0,0,,265,100
40,254,1054,0.0,0,,262,100
41,257,1057,0.0,0,,261,100
42,271,1071,0.0,0,,256,100
43,274,1074,0.0,0,,255,100
44,284,1084,1.3651709493465296e-09,0,,252,100
45,290,1090,5.316284916880035e-07,0,,249,100
46,295,1095,5.343072488030648e-07,0,,248,100
47,301,1101,3.3303090279861907e-06,0,,246,100
48,311,1111,5.16006738272501e-05,0,,242,100
49,321,1121,9.00707252078498e-05,0,,238,100
50,326,1126,0.00013307197764591844,0,,236,100
51,335,1135,0.015925040559805082,1,,232,100
52,345,1145,0.09346716219417515,1,,228,100
53,349,1149,0.10617126631122373,1,,227,100
54,359,1159,0.11355601086995047,1,,224,100
55,364,1164,0.17295269426917725,1,,222,100
56,367,1167,0.20151257006163517,1,,221,100
57,373,1173,0.20778714298057677,1,,220,100
58,377,1177,0.23419825416060008,1,,218,100
59,385,1185,0.24168278112784417,1,,216,100
60,394,1194,0.21084897246784165,1,,213,100
61,401,1201,0.21653769018597088,1,,210,100
62,406,1206,0.30445930815617817,1,,209,100
63,409,1209,0.34901825405716425,1,,208,100
64,413,1213,0.3555751150253908,1,,208,100
65,422,1222,0.16246258033653557,1,,203,100
66,428,1228,0.0,0,,200,100
67,431,1231,0.0,0,,200,100
68,438,1238,0.0,0,,196,100
69,443,1243,0.0,0,,195,100
70,450,1250,0.0,0,,194,100
71,458,1258,0.0,0,,190,100
72,467,1267,0.0,0,,187,100
73,474,1274,0.0,0,,184,100
74,481,1281,0.0,0,,181,100
75,487,1287,0.0,0,,179,100
76,493,1293,0.0,0,,177,100
77,500,1300,0.0,0,,173,100
78,512,1312,0.0,0,,169,100
79,517,1317,0.0,0,,167,100
80,527,1327,0.0,0,,163,100
81,532,1332,0.0,0,,161,100
82,540,1340,0.0,0,,158,100
83,544,1344,0.0,0,,156,100
84,550,1350,0.0,0,,152,100
85,558,1358,0.0,0,,149,100
86,567,1367,9.88355285967349e-15,0,,146,100
87,579,1379,1.1682603888049356e-16,0,,143,100
88,586,1386,2.392143483784158e-17,0,,140,100
89,592,1392,3.0696978731153267e-16,0,,139,100
90,599,1399,7.512014860636238e-16,0,,137,100
91,606,1406,3.977850885180308e-16,0,,135,100
92,615,1415,1.1591992348251075e-15,0,,131,100
93,618,1418,1.2545665143026488e-15,0,,130,100
94,625,1425,2.9247365008335176e-15,0,,127,100
95,634,1434,5.153525506049667e-15,0,,124,100
96,638,1438,3.6339398315409065e-15,0,,123,100
97,646,1446,3.668577824359934e-15,0,,120,100
98,654,1454,2.6707933212880102e-15,0,,117,100
99,658,1458,3.3599477130714265e-15,0,,116,100
100,667,1467,2.443754523863012e-15,0,,113,100
101,678,1478,4.4842774384159295e-15,0,,109,100
102,682,1482,1.300588258057163e-15,0,,107,100
103,686,1486,2.2881272431853723e-15,0,,105,100
104,693,1493,1.5618476035900206e-16,0,,101,100
