window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.43,1,,188,100
1,10,810,0.6,1,,189,100
2,20,820,0.66,1,,190,100
3,30,830,0.69,1,,187,100
4,40,840,0.69,1,,184,100
5,50,850,0.77,1,,182,100
6,60,860,0.77,1,,181,100
7,70,870,0.7,1,,178,100
8,80,880,0.86,1,,176,100
9,90,890,0.87,1,,174,100
10,100,900,0.89,1,,171,100
11,110,910,0.79,1,,169,100
12,120,920,0.83,1,,168,100
13,130,930,0.91,1,,166,100
14,140,940,0.81,1,,161,100
15,150,950,0.83,1,,160,100
16,160,960,0.87,1,,156,100
17,170,970,0.9,1,,153,100
18,180,980,0.73,1,,152,100
19,190,990,0.78,1,,148,100
20,200,1000,0.79,1,,146,100
21,210,1010,0.63,1,,144,100
22,220,1020,0.78,1,,142,100
23,230,1030,0.65,1,,139,100
24,240,1040,0.58,1,,138,100
25,250,1050,0.58,1,,137,100
26,260,1060,0.63,1,,134,100
27,270,1070,0.66,1,,131,100
28,280,1080,0.75,1,,130,100
29,290,1090,0.76,1,,128,100
30,300,1100,0.59,1,,125,100
31,310,1110,0.19,1,,123,100
32,320,1120,0.47,1,,121,100
33,330,1130,0.4,1,,121,100
34,340,1140,0.0,1,,117,100
35,350,1150,0.0,0,,117,100
36,360,1160,0.0,0,,115,100
37,370,1170,0.0,0,,110,100
38,380,1180,0.0,0,,110,100
39,390,1190,0.0,1,,107,100
40,400,1200,0.0,1,,104,100
41,410,1210,0.0,1,,104,100
42,420,1220,0.0,1,,101,100
