window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.688725494655307,1,,152,100
1,15,815,0.18123333960178586,1,,153,100
2,19,819,0.19089822453824729,1,,150,100
3,23,823,0.18868100419490563,1,,151,100
4,26,826,0.17365990011334181,1,,151,100
5,33,833,0.12449670533349731,1,,151,100
6,37,837,0.13417517105172044,1,,151,100
7,44,844,0.16144512788644472,1,,152,100
8,51,851,0.16943305566397157,1,,151,100
9,56,856,0.17582883561666682,1,,152,100
10,59,859,0.1696660982515826,1,,151,100
11,67,867,0.12358708516163114,1,,152,100
12,81,881,0.12381041528803692,1,,152,100
13,85,885,0.11325791233425628,1,,154,100
14,95,895,0.11516400273687089,1,,151,100
15,104,904,0.14316962993705115,1,,153,100
16,109,909,0.15546437140018937,1,,151,100
17,113,913,0.14016037072994175,1,,152,100
18,123,923,0.10722573573033958,1,,152,100
19,134,934,0.11891558033164291,1,,152,100
20,138,938,0.1038093750941956,1,,153,100
21,147,947,0.1374572865591391,1,,153,100
22,149,949,0.12071298110387593,1,,154,100
23,165,965,0.10352966691113276,1,,155,100
24,168,968,0.10570540222369962,1,,155,100
25,175,975,0.10121602463156922,1,,155,100
26,180,980,0.08749556682953705,1,,155,100
27,185,985,0.06979736929811627,1,,159,100
28,192,992,0.07932912165641293,1,,160,100
29,196,996,0.05595082062244839,1,,158,100
30,202,1002,0.04241938627995718,1,,159,100
31,218,1018,0.094472939992168,1,,159,100
32,226,1026,0.10181714880967091,1,,160,100
33,231,1031,0.0975558869692628,1,,160,100
34,236,1036,0.0741484066730663,1,,161,100
35,239,1039,0.0625506775735469,1,,159,100
36,250,1050,0.06883317502296538,1,,162,100
37,254,1054,0.05836081059196765,1,,163,100
38,258,1058,0.08267288150475614,1,,163,100
39,268,1068,0.11309180553685406,1,,163,100
40,284,1084,0.28323985448383976,1,,163,100
41,286,1086,0.25358309003518714,1,,165,100
42,302,1102,0.24044363076657077,1,,165,100
43,305,1105,0.18221267592752838,1,,164,100
44,312,1112,0.2542063247292114,1,,165,100
45,317,1117,0.23724796678470514,1,,166,100
46,322,1122,0.1985763092420578,1,,168,100
47,332,1132,0.2407038329884475,1,,168,100
48,336,1136,0.19396550199424062,1,,167,100
49,342,1142,0.13565844081632233,1,,167,100
50,358,1158,0.34859858710523456,1,,169,100
51,366,1166,0.3497414849992611,1,,170,100
52,371,1171,0.3374270206454066,1,,170,100
53,376,1176,0.3019453066605001,1,,172,100
54,379,1179,0.2747649358670764,1,,171,100
55,390,1190,0.33517880928250243,1,,173,100
56,394,1194,0.24070483007334842,1,,173,100
57,398,1198,0.2834382749339479,1,,172,100
58,408,1208,0.3612028171117836,1,,174,100
59,419,1219,0.39938906301916977,1,,175,100
60,422,1222,0.3482470111230854,1,,175,100
61,432,1232,0.4264841985590902,1,,175,100
62,446,1246,0.5610458617556375,1,,177,100
63,453,1253,0.5173142425704325,1,,177,100
64,459,1259,0.49425214944807644,1,,176,100
65,469,1269,0.48843062559318784,1,,177,100
66,478,1278,0.45097217698767955,1,,177,100
67,483,1283,0.4401088018982711,1,,178,100
