window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,9.557141629854931e-07,0,,184,100
1,10,810,0.0,0,,185,100
2,12,812,0.0,0,,183,100
3,21,821,0.0,0,,184,100
4,27,827,0.0,0,,183,100
5,32,832,0.0,0,,183,100
6,35,835,0.0,0,,184,100
7,39,839,0.0,0,,184,100
8,50,850,0.0,0,,185,100
9,53,853,0.0,0,,186,100
10,67,867,8.969121108896666e-06,0,,186,100
11,70,870,1.1826422716816683e-05,0,,188,100
12,80,880,0.0006947458364054936,0,,187,100
13,83,883,0.00011808675276032724,0,,187,100
14,95,895,0.014362629095550155,1,,186,100
15,99,899,0.02647801063371204,1,,185,100
16,104,904,0.034588829160482795,1,,185,100
17,113,913,0.03039465658825514,1,,188,100
18,122,922,0.02984206315563821,1,,186,100
19,125,925,0.028606146524715634,1,,186,100
20,135,935,0.03263779078765072,1,,185,100
21,139,939,0.03601478268982931,1,,186,100
22,147,947,0.030505074786659613,1,,185,100
23,150,950,0.024932303416025058,1,,185,100
24,158,958,0.03265148219404764,1,,185,100
25,161,961,0.028250231186468897,1,,184,100
26,164,964,0.02769535980076454,1,,186,100
27,168,968,0.024845201528686835,1,,186,100
28,175,975,0.02452854521656485,1,,186,100
29,178,978,0.020871776997756764,1,,187,100
30,182,982,0.02241705862132714,1,,186,100
31,188,988,0.02452189884099164,1,,186,100
32,191,991,0.02691401679900266,1,,186,100
33,195,995,0.02891818531263349,1,,186,100
34,202,1002,0.0323979475986463,1,,187,100
35,212,1012,0.04288199082487805,1,,186,100
36,215,1015,0.039729628512658544,1,,188,100
37,225,1025,0.02532956867327746,1,,187,100
38,229,1029,0.035452781296948975,1,,187,100
39,232,1032,0.02673876900652005,1,,186,100
40,241,1041,0.04837520455913553,1,,187,100
41,245,1045,0.20343143391968782,1,,185,100
42,256,1056,0.18142544000369598,1,,187,100
43,260,1060,0.20483867122029167,1,,187,100
44,262,1062,0.24601180013701096,1,,186,100
45,270,1070,0.23021888820387962,1,,187,100
46,273,1073,0.23641585318809188,1,,188,100
47,287,1087,0.1757390119690567,1,,185,100
48,297,1097,0.21948252515419545,1,,185,100
49,300,1100,0.2182452132812906,1,,183,100
50,302,1102,0.1938936149859237,1,,183,100
51,307,1107,0.24106895874256642,1,,183,100
52,317,1117,0.26640433959713516,1,,184,100
53,326,1126,0.33013333838991804,1,,182,100
54,332,1132,0.34650970480527554,1,,182,100
55,342,1142,0.3327077179033332,1,,183,100
56,345,1145,0.331458756414922,1,,183,100
57,349,1149,0.3899368694447012,1,,183,100
58,358,1158,0.4206904046910642,1,,183,100
59,361,1161,0.38074047255326404,1,,184,100
60,363,1163,0.419416829789303,1,,183,100
61,368,1168,0.43231781249050005,1,,184,100
62,375,1175,0.3385440208356053,1,,184,100
63,379,1179,0.33496773608394553,1,,185,100
64,385,1185,0.3697747311798664,1,,186,100
65,388,1188,0.3401395826828817,1,,186,100
66,392,1192,0.31285270058008086,1,,185,100
67,399,1199,0.2854314252010163,1,,185,100
68,402,1202,0.3072364025463752,1,,184,100
69,407,1207,0.27534612512210893,1,,185,100
70,411,1211,0.18035586438291518,1,,185,100
71,416,1216,0.21302287888791835,1,,186,100
72,422,1222,0.2685981568587717,1,,185,100
73,428,1228,0.20349438784368665,1,,185,100
74,432,1232,0.2287128223768909,1,,185,100
75,435,1235,0.24282855998203298,1,,185,100
76,446,1246,0.3307521300163742,1,,183,100
77,456,1256,0.38561087276559497,1,,182,100
78,460,1260,0.4012550112393298,1,,182,100
79,463,1263,0.34160756373205436,1,,182,100
