window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.45514232051820064,1,,165,100
1,3,803,0.4862812358189449,1,,164,100
2,13,813,0.028454313812612875,1,,164,100
3,18,818,0.04343052874886276,1,,164,100
4,21,821,0.031086633212221305,1,,162,100
5,27,827,0.06452850302068469,1,,160,100
6,31,831,0.029996585419531804,1,,162,100
7,41,841,0.029498500130994407,1,,161,100
8,53,853,0.009898011531217586,1,,163,100
9,56,856,0.016240323283359344,1,,161,100
10,60,860,0.031192115312296542,1,,163,100
11,69,869,0.028407942815537154,1,,164,100
12,76,876,0.03187296463705488,1,,163,100
13,83,883,0.026346175528671384,1,,162,100
14,86,886,0.023595257636086966,1,,161,100
15,95,895,0.027180729148167788,1,,162,100
16,100,900,0.013580711932582024,1,,160,100
17,103,903,0.011556559526446429,1,,160,100
18,107,907,0.029003626633366825,1,,160,100
19,114,914,0.007495200806679686,1,,160,100
20,117,917,0.004919354924869996,1,,160,100
21,123,923,0.01314266201583943,1,,161,100
22,131,931,0.009839120649089943,1,,161,100
23,134,934,0.012427008669258003,1,,162,100
24,142,942,0.008222727329816722,1,,162,100
25,152,952,0.009827754068847188,1,,163,100
26,156,956,0.00908968767003916,1,,162,100
27,160,960,0.01065029846051492,1,,163,100
28,167,967,0.007884071668831604,1,,163,100
29,170,970,0.005639039890887489,1,,164,100
30,179,979,0.004817555460580091,1,,166,100
31,183,983,0.006902840182665847,1,,165,100
32,193,993,0.008222820526369825,1,,166,100
33,199,999,0.0066476862597198245,1,,165,100
34,205,1005,0.005737481045967506,1,,166,100
35,210,1010,0.005565744370171958,1,,166,100
36,220,1020,0.004892288366187922,1,,167,100
37,225,1025,0.00442811778073645,1,,166,100
38,230,1030,0.003611319636232621,1,,166,100
39,239,1039,0.003247707483167757,1,,166,100
40,243,1043,0.001016203753976586,1,,165,100
41,246,1046,0.002029437117125961,1,,165,100
42,253,1053,0.0036646634028143945,1,,164,100
43,259,1059,0.010452234387909331,1,,164,100
44,263,1063,0.09522666256566578,1,,163,100
45,270,1070,0.08711848579383102,1,,163,100
46,273,1073,0.08876439403151683,1,,163,100
47,277,1077,0.10294649957997809,1,,163,100
48,284,1084,0.10821530183903118,1,,162,100
49,288,1088,0.09671629549114262,1,,164,100
50,297,1097,0.16662477430461117,1,,165,100
51,301,1101,0.1229833181264392,1,,165,100
52,307,1107,0.12004278853202402,1,,164,100
53,315,1115,0.18148905011631283,1,,165,100
54,318,1118,0.1846307568384249,1,,165,100
55,324,1124,0.11494897836256669,1,,165,100
56,328,1128,0.13021101946477845,1,,167,100
57,333,1133,0.12241971057283704,1,,164,100
58,336,1136,0.10884111200884454,1,,164,100
59,343,1143,0.08101057601185381,1,,164,100
60,347,1147,0.0766140417514933,1,,164,100
61,350,1150,0.07132895174529255,1,,164,100
62,359,1159,0.058122664615358095,1,,164,100
63,363,1163,0.055531235952463745,1,,164,100
64,371,1171,0.06687991323816592,1,,165,100
65,377,1177,0.04282438188509941,1,,165,100
66,379,1179,0.041453408409259235,1,,165,100
67,386,1186,0.018545088052120337,1,,165,100
68,394,1194,0.01069906181426723,1,,165,100
69,397,1197,0.018538193017668066,1,,164,100
70,401,1201,0.025448504830436706,1,,165,100
71,410,1210,0.05101093892871942,1,,164,100
72,413,1213,0.05521500492460979,1,,165,100
73,421,1221,0.13996085902124142,1,,165,100
74,430,1230,0.047041183800581414,1,,164,100
75,435,1235,0.07792615117457329,1,,164,100
76,440,1240,0.10508555834412857,1,,164,100
77,447,1247,0.02775077260867574,1,,164,100
78,455,1255,0.026741257694250006,1,,165,100
79,459,1259,0.041104075284540124,1,,166,100
80,466,1266,0.06810631689873567,1,,165,100
81,472,1272,0.054565291868744425,1,,165,100
82,478,1278,0.08323435538513027,1,,164,100
83,483,1283,0.08855267321455143,1,,164,100
84,486,1286,0.12117892405119664,1,,164,100
85,490,1290,0.10223480109522237,1,,163,100
86,502,1302,0.36650550025053197,1,,161,100
87,505,1305,0.48602087864008975,1,,160,100
88,510,1310,0.3179150844364219,1,,160,100
89,516,1316,0.3790169119849166,1,,161,100
90,523,1323,0.2766712521330826,1,,163,100
91,526,1326,0.30388881917941996,1,,162,100
