window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.7707313377906816,1,,218,100
1,4,804,0.794264580040161,1,,215,100
2,7,807,0.8083542173170594,1,,215,100
3,11,811,0.8007477845678433,1,,216,100
4,21,821,0.8297922318325819,1,,217,100
5,25,825,0.8086041648735555,1,,216,100
6,33,833,0.8007065863051128,1,,217,100
7,37,837,0.811190437064786,1,,218,100
8,44,844,0.8131997075682267,1,,220,100
9,48,848,0.8006575330212619,1,,222,100
10,52,852,0.7797195537198405,1,,222,100
11,60,860,0.6923168278772606,1,,220,100
12,64,864,0.15027129251655716,1,,218,100
13,68,868,0.13166152052924998,1,,218,100
14,72,872,0.10442495735194797,1,,218,100
15,78,878,0.11762024359707295,1,,218,100
16,82,882,0.10411373348183876,1,,218,100
17,90,890,0.10299564359101633,1,,218,100
18,96,896,0.08157265129987543,1,,218,100
19,100,900,0.07600751528312713,1,,218,100
20,106,906,0.09866033336443662,1,,216,100
21,110,910,0.09459470437097431,1,,217,100
22,119,919,0.09435035967203059,1,,217,100
23,123,923,0.10823244613493489,1,,217,100
24,128,928,0.09689817365243392,1,,215,100
25,132,932,0.10139629451172728,1,,216,100
26,137,937,0.12472814257132182,1,,216,100
27,140,940,0.10571209682945976,1,,216,100
28,144,944,0.11676830759123895,1,,216,100
29,150,950,0.15592433513599013,1,,215,100
30,154,954,0.13579529563514034,1,,215,100
31,158,958,0.14646228545231488,1,,216,100
32,165,965,0.1459363384082194,1,,216,100
33,168,968,0.20812077303586285,1,,216,100
34,172,972,0.15724709937580525,1,,217,100
35,178,978,0.15115046614805866,1,,221,100
36,183,983,0.1611189814731931,1,,221,100
37,187,987,0.149798560504117,1,,221,100
38,192,992,0.1748556296880288,1,,221,100
39,195,995,0.13883414990116738,1,,221,100
40,199,999,0.16462173450542722,1,,220,100
41,208,1008,0.10483948133507849,1,,218,100
42,212,1012,0.11874681078146315,1,,216,100
43,216,1016,0.09577858916750832,1,,216,100
44,220,1020,0.1004982626725909,1,,216,100
45,226,1026,0.05877588785316118,1,,216,100
46,230,1030,0.06836963279469865,1,,216,100
47,236,1036,0.06163784268349587,1,,215,100
48,239,1039,0.0627768279546202,1,,215,100
49,246,1046,0.0801878388280682,1,,214,100
50,250,1050,0.4588975536297131,1,,214,100
51,256,1056,0.5190102801061088,1,,214,100
52,260,1060,0.4662034049701046,1,,213,100
53,268,1068,0.41457456062106224,1,,211,100
54,272,1072,0.49370085787477574,1,,211,100
55,276,1076,0.5322543071230109,1,,211,100
56,280,1080,0.4928369693694324,1,,211,100
57,284,1084,0.4558251786305228,1,,211,100
58,288,1088,0.2012721517739978,1,,210,100
59,295,1095,0.27052974748764735,1,,210,100
60,300,1100,0.24071207571158318,1,,210,100
61,303,1103,0.26368356306943336,1,,211,100
62,307,1107,0.25096584856986814,1,,214,100
63,313,1113,0.2559723455835477,1,,214,100
64,317,1117,0.2841267844283876,1,,214,100
65,321,1121,0.35503437357171763,1,,215,100
66,329,1129,0.26700661455510993,1,,215,100
67,333,1133,0.2730530562306402,1,,215,100
68,339,1139,0.1983293227420137,1,,214,100
69,344,1144,0.18495999745910122,1,,214,100
70,348,1148,0.20547136451801248,1,,215,100
71,359,1159,0.011530664451464959,1,,213,100
72,363,1163,0.07824501859349822,1,,210,100
73,367,1167,0.0638433098999542,1,,211,100
74,371,1171,0.05121400222231329,1,,210,100
75,378,1178,0.06375329159403813,1,,211,100
76,382,1182,0.04611787730738708,1,,211,100
77,388,1188,0.052227607561974664,1,,212,100
78,393,1193,0.05881434666486388,1,,211,100
79,397,1197,0.045089877769917006,1,,210,100
80,401,1201,0.04101196667319824,1,,212,100
81,410,1210,0.030800208925446097,1,,210,100
82,413,1213,0.04020862412794133,1,,210,100
83,420,1220,0.04932414279621946,1,,210,100
84,427,1227,0.021147552101877052,1,,208,100
85,431,1231,0.011438557937434438,1,,209,100
86,435,1235,0.009017884703328049,1,,210,100
87,443,1243,0.011941175103846652,1,,210,100
88,447,1247,0.025391203263021956,1,,211,100
89,451,1251,0.02247772828609466,1,,211,100
90,459,1259,0.03329472101240679,1,,212,100
91,464,1264,0.05804615153529741,1,,212,100
92,468,1268,0.044242057642087565,1,,211,100
93,474,1274,0.036680812528162625,1,,213,100
94,480,1280,0.3142831377577881,1,,210,100
95,484,1284,0.25582194929584745,1,,209,100
96,488,1288,0.27770763942163285,1,,212,100
97,492,1292,0.22062289885918535,1,,213,100
98,498,1298,0.26644038942365433,1,,212,100
99,502,1302,0.28114623388299337,1,,212,100
100,508,1308,0.23465882188768145,1,,212,100
101,511,1311,0.19238185567770258,1,,212,100
102,513,1313,0.17092856901570064,1,,211,100
103,523,1323,0.07423252593739531,1,,211,100
104,526,1326,0.0662657546440759,1,,211,100
105,530,1330,0.10283349151843899,1,,212,100
106,536,1336,0.1455060657347833,1,,211,100
107,539,1339,0.1586128669614258,1,,211,100
108,543,1343,0.15717087764702997,1,,209,100
109,551,1351,0.1910078863441178,1,,208,100
110,555,1355,0.2725155624126105,1,,208,100
111,559,1359,0.25925654811801374,1,,209,100
112,562,1362,0.27653944587296675,1,,209,100
113,569,1369,0.143715477394744,1,,210,100
114,573,1373,0.16964399924255738,1,,210,100
115,580,1380,0.14578107226206488,1,,211,100
116,585,1385,0.1411854171262199,1,,210,100
117,589,1389,0.21601706734370865,1,,209,100
118,598,1398,0.29917067440252415,1,,208,100
119,602,1402,0.3417628540197225,1,,205,100
120,606,1406,0.3933689189038868,1,,205,100
121,610,1410,0.391403533951998,1,,205,100
122,615,1415,0.36905722675361124,1,,205,100
123,619,1419,0.4191650041213373,1,,205,100
124,630,1430,0.45107261125852427,1,,206,100
125,634,1434,0.483533852248743,1,,206,100
126,642,1442,0.3850201928667227,1,,207,100
127,646,1446,0.46152480095548926,1,,207,100
128,653,1453,0.3762797709898889,1,,208,100
129,659,1459,0.3685131526638619,1,,208,100
130,664,1464,0.46100125590146146,1,,207,100
