window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.25676990095635005,1,,183,100
1,5,805,0.2553540078804532,1,,184,100
2,11,811,0.23416117882884369,1,,184,100
3,15,815,0.2376514172176566,1,,183,100
4,21,821,0.20327322155173932,1,,183,100
5,27,827,0.27792476460703613,1,,184,100
6,31,831,0.28470668806880856,1,,184,100
7,35,835,0.2894042548305458,1,,184,100
8,43,843,0.213902673117833,1,,186,100
9,51,851,0.2550770538235635,1,,187,100
10,57,857,0.2502131412613558,1,,186,100
11,60,860,0.23087579354126833,1,,185,100
12,65,865,0.24010353268243176,1,,186,100
13,76,876,0.2678528199307318,1,,186,100
14,78,878,0.2984281211648128,1,,185,100
15,82,882,0.2875133537091082,1,,187,100
16,90,890,0.23952678705479138,1,,187,100
17,100,900,0.25944898485633927,1,,188,100
18,103,903,0.28714443025940667,1,,190,100
19,112,912,0.22387627407757973,1,,187,100
20,116,916,0.15722458736408101,1,,189,100
21,126,926,0.10976439191511285,1,,190,100
22,129,929,0.09445478445356185,1,,188,100
23,133,933,0.1048256045223151,1,,189,100
24,145,945,0.13846862886193118,1,,190,100
25,150,950,0.18336069897381485,1,,191,100
26,154,954,0.1852352682684061,1,,189,100
27,158,958,0.1269697604606089,1,,189,100
28,162,962,0.09328743162500104,1,,189,100
29,170,970,0.07033127666321759,1,,189,100
30,178,978,0.00323706871084985,1,,187,100
31,182,982,0.001153939251662295,1,,186,100
32,185,985,0.00161792871874269,1,,186,100
33,189,989,0.0013313972792877375,1,,186,100
34,197,997,0.0015694523440557562,1,,186,100
35,200,1000,0.0018124160047843423,1,,186,100
36,202,1002,0.0016729557189507248,1,,186,100
37,208,1008,0.002282271457548031,1,,187,100
38,214,1014,0.0020231456213747386,1,,187,100
39,219,1019,0.0009006209934049264,0,,186,100
40,227,1027,0.001222108579688152,1,,187,100
41,235,1035,0.0012304650431295282,1,,188,100
42,240,1040,0.0015458591435103584,1,,189,100
43,248,1048,0.0007697956940194599,0,,188,100
44,251,1051,0.0014261132734377405,1,,188,100
45,255,1055,0.0023390872354760793,1,,189,100
46,262,1062,0.0019174603192543503,1,,188,100
47,265,1065,0.0021391721877053083,1,,188,100
48,275,1075,0.0015708656046535367,1,,189,100
49,279,1079,0.0019166516654506296,1,,188,100
50,282,1082,0.001778757958630983,1,,190,100
51,293,1093,0.00258584603779473,1,,186,100
52,297,1097,0.001772093219278669,1,,187,100
53,302,1102,0.0017132591774351915,1,,189,100
54,310,1110,0.001299888130220398,1,,187,100
55,313,1113,0.0018124429725236999,1,,187,100
56,317,1117,0.000588850817254442,0,,187,100
57,321,1121,0.0005561680411547425,0,,186,100
58,324,1124,0.0005918073439530897,0,,186,100
59,326,1126,0.0005014326913109311,0,,185,100
60,332,1132,0.0005112398481114006,0,,186,100
61,345,1145,0.005109349110516032,1,,184,100
62,348,1148,0.005736679053435504,1,,184,100
63,353,1153,0.003612306041471305,1,,183,100
64,358,1158,0.0023182338653296693,1,,182,100
65,361,1161,0.002456510145020755,1,,182,100
66,366,1166,0.00241491754699337,1,,181,100
67,371,1171,0.0442152168376882,1,,182,100
68,374,1174,0.04102222383283831,1,,182,100
69,383,1183,0.030956810322447476,1,,181,100
70,385,1185,0.12920214196012508,1,,181,100
71,393,1193,0.10864010907341164,1,,181,100
72,396,1196,0.11271192088387365,1,,181,100
73,401,1201,0.12303562199096656,1,,181,100
74,408,1208,0.08395167906261129,1,,179,100
75,411,1211,0.06864613613213025,1,,179,100
76,413,1213,0.044794287996677166,1,,179,100
77,419,1219,0.06375475327563623,1,,181,100
78,427,1227,0.06389825866870272,1,,180,100
79,433,1233,0.060466157145141836,1,,180,100
80,437,1237,0.0686653605347536,1,,180,100
81,443,1243,0.09654474649883746,1,,180,100
82,447,1247,0.13514989677281594,1,,180,100
83,452,1252,0.11239589458206449,1,,181,100
84,457,1257,0.13926432551655105,1,,179,100
85,463,1263,0.13883437450224695,1,,181,100
86,469,1269,0.14543248361777025,1,,180,100
87,474,1274,0.14720556670436458,1,,179,100
88,479,1279,0.12725925642681532,1,,180,100
89,486,1286,0.1315104328834201,1,,180,100
90,492,1292,0.12895940394239294,1,,180,100
91,498,1298,0.06699549475490874,1,,181,100
92,501,1301,0.07520371433271042,1,,180,100
93,504,1304,0.09578370994504452,1,,181,100
94,515,1315,0.11254952521800496,1,,181,100
95,523,1323,0.13948385038911282,1,,183,100
96,527,1327,0.17006352416893888,1,,182,100
97,534,1334,0.15161205828617036,1,,183,100
98,539,1339,0.16954791925737728,1,,184,100
99,542,1342,0.13033182146059547,1,,183,100
100,549,1349,0.18667890402787266,1,,184,100
101,552,1352,0.16741000727213104,1,,183,100
102,559,1359,0.23505969458910606,1,,181,100
103,564,1364,0.30003762522534555,1,,180,100
104,567,1367,0.16244298515860175,1,,180,100
105,569,1369,0.1743147852896738,1,,181,100
106,576,1376,0.1326947169183172,1,,179,100
107,583,1383,0.1521320244176642,1,,179,100
108,586,1386,0.1519467202267128,1,,179,100
109,590,1390,0.1155739881742383,1,,178,100
110,594,1394,0.13355063371269138,1,,179,100
111,606,1406,0.10465702245243558,1,,178,100
112,610,1410,0.08872073094302038,1,,178,100
113,614,1414,0.12066371708490312,1,,179,100
114,628,1428,0.31614150214990655,1,,177,100
115,632,1432,0.3359075446086301,1,,177,100
116,636,1436,0.3938846895647208,1,,176,100
117,648,1448,0.4700407284663591,1,,176,100
118,656,1456,0.11814811823782212,1,,176,100
119,660,1460,0.13602887068104233,1,,176,100
120,666,1466,0.17261193792927956,1,,174,100
121,671,1471,0.15534606053224206,1,,172,100
122,678,1478,0.14136916086305298,1,,171,100
123,682,1482,0.1396351024653334,1,,170,100
124,688,1488,0.1403175031149304,1,,168,100
125,692,1492,0.13297721411815033,1,,169,100
126,702,1502,0.11982159777932912,1,,166,100
127,708,1508,0.1451490091784441,1,,164,100
128,713,1513,0.16090400655306666,1,,164,100
129,725,1525,0.16700791809852927,1,,161,100
130,729,1529,0.18589573203713558,1,,159,100
131,733,1533,0.18037616440729798,1,,158,100
132,739,1539,0.182742726244553,1,,157,100
133,743,1543,0.18367358452586996,1,,156,100
134,748,1548,0.17487819674510044,1,,155,100
135,754,1554,0.14553218357969705,1,,154,100
136,757,1557,0.1620737918389993,1,,153,100
137,761,1561,0.14697118494630487,1,,152,100
138,764,1564,0.15158111801632257,1,,151,100
139,773,1573,0.10833387099486966,1,,148,100
140,777,1577,0.13079128134673312,1,,147,100
141,783,1583,0.13959300466387164,1,,146,100
142,788,1588,0.11993542927102172,1,,145,100
143,795,1595,0.11110703217283865,1,,144,100
144,801,1601,0.12334057604963825,1,,142,100
145,805,1605,0.11046845571921644,1,,141,100
146,810,1610,0.13270330315356732,1,,140,100
147,819,1619,0.11128645797781868,1,,139,100
148,824,1624,0.10370842896296002,1,,138,100
149,827,1627,0.10548596165522232,1,,137,100
150,831,1631,0.1258966492662492,1,,136,100
151,837,1637,0.09546306568264816,1,,134,100
152,841,1641,0.08911047122241857,1,,133,100
153,844,1644,0.10446202585774074,1,,132,100
154,848,1648,0.1231077439118187,1,,131,100
155,854,1654,0.09243440063492095,1,,131,100
156,861,1661,0.1124932568602786,1,,129,100
157,866,1666,0.09807630413486278,1,,128,100
158,871,1671,0.5410093111778629,1,,127,100
159,875,1675,0.5988304942366357,1,,126,100
160,881,1681,0.5165155468621919,1,,124,100
161,884,1684,0.4475128574749187,1,,123,100
