window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.7858203376508005,1,,160,100
1,12,812,0.6636041690390434,1,,159,100
2,15,815,0.5827947829843607,1,,159,100
3,22,822,0.632911032792499,1,,161,100
4,31,831,0.585665455566048,1,,159,100
5,36,836,0.6034330082153071,1,,159,100
6,39,839,0.5660331130736592,1,,158,100
7,47,847,0.5633459632757907,1,,158,100
8,50,850,0.5729094945391051,1,,158,100
9,54,854,0.5611096625131846,1,,158,100
10,61,861,0.5086668267800402,1,,160,100
11,71,871,0.5235371949155787,1,,159,100
12,73,873,0.5408476088522528,1,,159,100
13,78,878,0.5738676680920216,1,,158,100
14,81,881,0.563723024126416,1,,158,100
15,86,886,0.5099950875490208,1,,158,100
16,95,895,0.581907406394831,1,,159,100
17,99,899,0.5378211867987528,1,,159,100
18,110,910,0.533105668963241,1,,160,100
19,124,924,0.5402619706094849,1,,162,100
20,130,930,0.5630107672042963,1,,162,100
21,135,935,0.6004489680217259,1,,161,100
22,148,948,0.46470459925331153,1,,162,100
23,151,951,0.43668206791237496,1,,162,100
24,156,956,0.440117010027413,1,,162,100
25,159,959,0.49748003467978036,1,,161,100
26,163,963,0.4985961389321039,1,,162,100
27,172,972,0.49032531851234634,1,,163,100
28,180,980,0.44531012472330034,1,,163,100
29,193,993,0.5193777543868391,1,,164,100
30,203,1003,0.6144243802681011,1,,165,100
31,211,1011,0.49959394339733554,1,,167,100
32,222,1022,0.7814932234339791,1,,166,100
33,226,1026,0.7543321389785519,1,,166,100
34,233,1033,0.7724785042971912,1,,165,100
35,236,1036,0.7957234560167731,1,,164,100
36,241,1041,0.7925186720504044,1,,162,100
37,247,1047,0.8033991573640391,1,,161,100
38,255,1055,0.8047857240649735,1,,158,100
39,262,1062,0.7809310546892286,1,,156,100
40,271,1071,0.8012075852957002,1,,155,100
41,283,1083,0.7619657252298925,1,,153,100
42,295,1095,0.7778881101342474,1,,149,100
43,302,1102,0.808056964758792,1,,146,100
44,307,1107,0.8091906965704294,1,,146,100
45,314,1114,0.8272416704067537,1,,144,100
46,317,1117,0.8379336251855375,1,,143,100
47,321,1121,0.8195684784827414,1,,142,100
48,331,1131,0.9072429787961642,1,,140,100
49,335,1135,0.9093221421740508,1,,139,100
50,338,1138,0.8947258995593124,1,,139,100
51,345,1145,0.9016592577424831,1,,138,100
52,353,1153,0.9025312214554779,1,,136,100
53,356,1156,0.9049013111214013,1,,136,100
54,361,1161,0.9093777635195449,1,,134,100
55,365,1165,0.9001880621477147,1,,133,100
56,374,1174,0.9028415026951352,1,,132,100
57,377,1177,0.9147323786487142,1,,133,100
58,387,1187,0.8765404684154836,1,,130,100
59,390,1190,0.8651299014372982,1,,129,100
60,393,1193,0.9105509560228551,1,,128,100
61,397,1197,0.9144162754007213,1,,126,100
62,405,1205,0.895779120399752,1,,125,100
63,408,1208,0.9047908277869045,1,,124,100
64,412,1212,0.924951561433017,1,,123,100
65,422,1222,0.9193742209688773,1,,122,100
66,435,1235,0.8969609227084632,1,,118,100
67,439,1239,0.8946542402159097,1,,117,100
68,445,1245,0.89983298628275,1,,116,100
69,455,1255,0.9283382574510751,1,,115,100
70,462,1262,0.9040925796470447,1,,114,100
71,466,1266,0.9246094716732757,1,,113,100
72,471,1271,0.9074408228776185,1,,112,100
73,482,1282,0.9248725954158471,1,,111,100
74,489,1289,0.9290946245387716,1,,110,100
75,495,1295,0.9335460756370038,1,,109,100
76,498,1298,0.9321920070616377,1,,108,100
77,507,1307,0.9252799401420337,1,,107,100
78,510,1310,0.9380225917388232,1,,106,100
79,514,1314,0.9422001913814617,1,,106,100
80,521,1321,0.963165549136144,1,,104,100
81,524,1324,0.9584115317351978,1,,103,100
82,536,1336,0.947372200417749,1,,103,100
83,545,1345,0.942500567269851,1,,101,100
84,548,1348,0.9322885812121541,1,,100,100
