window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.001150820162972805,1,,166,100
1,6,806,0.0011296506499743845,1,,165,100
2,8,808,0.0008646354725911532,0,,164,100
3,16,816,0.0008478751140256755,0,,164,100
4,21,821,0.0009908824840185377,0,,162,100
5,24,824,0.0012680480248695224,1,,161,100
6,26,826,0.001009797116804238,1,,160,100
7,35,835,0.0010801190062625335,1,,158,100
8,40,840,0.0003274321472352572,0,,155,100
9,45,845,0.0001265695646022265,0,,153,100
10,49,849,7.509172701100088e-05,0,,152,100
11,54,854,8.072603116135926e-05,0,,152,100
12,61,861,3.704751869480583e-05,0,,150,100
13,65,865,3.367611942126515e-05,0,,149,100
14,70,870,2.88884971849098e-05,0,,148,100
15,81,881,0.0002260959734394805,0,,144,100
16,87,887,0.0002126600138395581,0,,143,100
17,93,893,0.00021085986400730698,0,,141,100
18,96,896,0.00022938903867182644,0,,140,100
19,102,902,8.28833034062938e-05,0,,139,100
20,106,906,0.00012592924415135977,0,,139,100
21,114,914,4.726519416372009e-05,0,,138,100
22,119,919,2.9025852035177127e-05,0,,136,100
23,122,922,2.27983880753426e-05,0,,135,100
24,127,927,4.919034900992431e-05,0,,132,100
25,131,931,5.1043258926484365e-05,0,,131,100
26,140,940,4.249311264061129e-05,0,,129,100
27,146,946,3.0761917318331192e-06,0,,129,100
28,151,951,0.00018447359329688349,0,,127,100
29,155,955,2.2903185531711323e-05,0,,126,100
30,159,959,4.997000382188678e-06,0,,125,100
31,165,965,2.1912144950319837e-05,0,,124,100
32,167,967,0.00010119922001466852,0,,123,100
33,173,973,8.965190041804863e-05,0,,120,100
34,182,982,0.00032086004978386655,0,,117,100
35,186,986,0.00040698594020493567,0,,116,100
36,190,990,0.00024101390592106987,0,,115,100
37,194,994,0.00027427858680113045,0,,114,100
38,198,998,0.00011864497975242157,0,,113,100
39,201,1001,0.00011364973403589832,0,,113,100
40,208,1008,0.0002310230829499491,0,,111,100
41,216,1016,0.00020308724044573493,0,,107,100
42,220,1020,0.00012937827299953222,0,,106,100
43,226,1026,0.0003462651483994592,0,,105,100
44,229,1029,0.00042469513929883207,0,,104,100
45,233,1033,0.0005304372729821919,0,,103,100
46,238,1038,0.001261361636306599,1,,102,100
47,249,1049,0.0005027246999940824,0,,100,100
