window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.47807163565600985,1,,188,100
1,10,810,0.6678880560269687,1,,189,100
2,13,813,0.6708947958901924,1,,189,100
3,20,820,0.6875493094979722,1,,190,100
4,25,825,0.6518753830535768,1,,190,100
5,31,831,0.7227145415155655,1,,186,100
6,40,840,0.7723659967374353,1,,184,100
7,43,843,0.776256219781075,1,,183,100
8,50,850,0.7602249576444338,1,,182,100
9,55,855,0.7607006594595787,1,,182,100
10,65,865,0.8202092557129816,1,,178,100
11,72,872,0.8121901590110662,1,,177,100
12,75,875,0.8239848923979707,1,,176,100
13,82,882,0.8372309136853149,1,,175,100
14,87,887,0.8416932579973643,1,,174,100
15,96,896,0.8728766970688872,1,,171,100
16,104,904,0.8776914413440897,1,,170,100
17,107,907,0.8735697623274373,1,,169,100
18,114,914,0.8508202356435908,1,,168,100
19,119,919,0.8421171738360257,1,,168,100
20,132,932,0.8633343310392217,1,,164,100
21,137,937,0.8742046386687526,1,,162,100
22,140,940,0.8822397605095132,1,,161,100
23,147,947,0.8793822813071359,1,,160,100
24,152,952,0.8844062730927504,1,,159,100
25,160,960,0.8295926442179108,1,,156,100
26,167,967,0.8321647408324799,1,,154,100
27,170,970,0.8535170225390886,1,,153,100
28,177,977,0.7983730903249323,1,,152,100
29,182,982,0.7661494315775348,1,,151,100
30,189,989,0.8381123294420431,1,,148,100
31,201,1001,0.7920330928507494,1,,147,100
32,209,1009,0.7977217119732796,1,,143,100
33,217,1017,0.7439045740619419,1,,142,100
34,223,1023,0.730821181463548,1,,141,100
35,230,1030,0.7095110538488713,1,,139,100
36,238,1038,0.5863760994941221,1,,138,100
37,245,1045,0.6132183849427719,1,,137,100
38,248,1048,0.6524639419461484,1,,136,100
39,254,1054,0.6573078048138135,1,,135,100
40,258,1058,0.6922654430043854,1,,134,100
41,265,1065,0.6396683257938623,1,,131,100
42,274,1074,0.6184808275712671,1,,131,100
43,287,1087,0.651769582914481,1,,129,100
44,293,1093,0.6871324289759412,1,,128,100
45,301,1101,0.5646832295139826,1,,124,100
46,308,1108,0.4672252160089476,1,,123,100
47,315,1115,0.3362697814939408,1,,122,100
48,321,1121,0.5098150565009467,1,,121,100
49,326,1126,0.4217358800119364,1,,121,100
50,336,1136,0.006976609194948793,1,,117,100
51,343,1143,0.05835338888453362,1,,118,100
52,354,1154,0.000801342978049107,0,,116,100
53,364,1164,0.00026013433122817095,0,,112,100
54,367,1167,3.945469732658419e-05,0,,111,100
55,371,1171,7.048029880387956e-05,0,,110,100
56,376,1176,0.00022012457297451718,0,,109,100
57,379,1179,0.0001420570403730017,0,,109,100
58,390,1190,0.0015314615210485331,1,,107,100
59,397,1197,0.0013375401680599196,1,,105,100
60,401,1201,0.0027306652523763296,1,,106,100
61,412,1212,0.0035781674082330907,1,,103,100
62,415,1215,0.002349602836973928,1,,103,100
