window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.9646872261431232,1,,181,100
1,5,805,0.8803876850649,1,,179,100
2,8,808,0.8691733672514923,1,,179,100
3,13,813,0.9020254707069548,1,,179,100
4,17,817,0.875117273665392,1,,178,100
5,30,830,0.902483537698121,1,,180,100
6,39,839,0.8981747967674707,1,,179,100
7,48,848,0.9028361365561527,1,,181,100
8,53,853,0.9191253668346282,1,,182,100
9,57,857,0.9106305117425134,1,,180,100
10,64,864,0.9050465711823793,1,,180,100
11,73,873,0.7971011654447516,1,,178,100
12,80,880,0.8192008219992638,1,,177,100
13,83,883,0.7589227261137098,1,,177,100
14,88,888,0.3786895764920033,1,,176,100
15,91,891,0.4309086530957444,1,,176,100
16,97,897,0.43124238733402176,1,,177,100
17,105,905,0.46527309128171307,1,,177,100
18,114,914,0.6220750221399712,1,,179,100
19,119,919,0.5638404355782882,1,,179,100
20,128,928,0.6413356728008974,1,,178,100
21,134,934,0.9056678684595908,1,,177,100
22,137,937,0.9051101708771223,1,,176,100
23,148,948,0.9111034489558036,1,,178,100
24,153,953,0.9107159316759593,1,,176,100
25,163,963,0.9079404097512398,1,,176,100
26,170,970,0.9061431113075674,1,,178,100
27,173,973,0.9147510435334931,1,,177,100
28,180,980,0.9112650114517116,1,,179,100
29,185,985,0.9112804976224343,1,,179,100
30,190,990,0.8742160279175888,1,,180,100
31,193,993,0.8584642356169006,1,,178,100
32,196,996,0.8261817345028457,1,,177,100
33,198,998,0.8181480336668033,1,,177,100
34,207,1007,0.8288714855131916,1,,177,100
35,215,1015,0.8825394858426968,1,,176,100
36,219,1019,0.887297342498674,1,,176,100
37,223,1023,0.8624211666274277,1,,176,100
38,232,1032,0.8850816666047561,1,,176,100
39,243,1043,0.9063400120987918,1,,178,100
40,246,1046,0.8718315086832932,1,,177,100
41,262,1062,0.8635896643336566,1,,179,100
42,266,1066,0.8578912075392147,1,,178,100
43,269,1069,0.8668851309144636,1,,178,100
44,273,1073,0.8609253282845393,1,,178,100
45,281,1081,0.9027308809140988,1,,176,100
46,284,1084,0.720887661785312,1,,177,100
47,298,1098,0.8964561806479887,1,,178,100
48,303,1103,0.8861137167137245,1,,177,100
49,313,1113,0.8033360565631177,1,,178,100
50,323,1123,0.7409394547506791,1,,180,100
51,329,1129,0.7204177619571243,1,,179,100
52,333,1133,0.7346938282800906,1,,179,100
53,340,1140,0.723128461575137,1,,180,100
54,343,1143,0.7249099297777697,1,,181,100
55,351,1151,0.5455263288716529,1,,178,100
56,354,1154,0.5703096409468434,1,,177,100
57,359,1159,0.5107141974849634,1,,176,100
58,368,1168,0.5355088120541113,1,,175,100
59,377,1177,0.5465125722432187,1,,173,100
60,381,1181,0.46925443660479,1,,172,100
61,385,1185,0.5995836760724119,1,,171,100
62,389,1189,0.4808828410949824,1,,170,100
63,399,1199,0.3334924748408788,1,,169,100
64,408,1208,0.3233107438904086,1,,168,100
65,411,1211,0.44450823059096706,1,,167,100
66,415,1215,0.4357626775832678,1,,165,100
67,424,1224,0.3208653473141597,1,,164,100
68,427,1227,0.29164012382728033,1,,163,100
69,431,1231,0.1517500608019152,1,,162,100
70,438,1238,0.16060694229544575,1,,161,100
71,446,1246,0.00821120829793121,1,,159,100
72,449,1249,0.013261191535914338,1,,158,100
73,454,1254,0.0027998031581820283,1,,157,100
74,459,1259,0.01616152975206348,1,,157,100
75,470,1270,0.010724644542364783,1,,155,100
76,474,1274,0.019799665859068345,1,,154,100
77,478,1278,0.018255561433191472,1,,154,100
78,486,1286,0.045975875961560865,1,,151,100
79,489,1289,0.49904814199838543,1,,150,100
80,493,1293,0.4584577205296299,1,,149,100
81,500,1300,0.46388377395676195,1,,148,100
82,503,1303,0.3923580020295052,1,,147,100
83,509,1309,0.4432610727855904,1,,146,100
84,513,1313,0.4690665484691812,1,,145,100
85,516,1316,0.4420984679342038,1,,144,100
86,520,1320,0.4128008396915457,1,,145,100
87,530,1330,0.4702364471003176,1,,142,100
88,533,1333,0.5099075724232526,1,,141,100
89,537,1337,0.3610071576504578,1,,141,100
90,543,1343,0.42118120572882684,1,,139,100
91,547,1347,0.2934604445978305,1,,137,100
92,559,1359,0.8478078719273996,1,,134,100
93,562,1362,0.7517024515052215,1,,134,100
94,569,1369,0.7129499777842462,1,,132,100
95,574,1374,0.6808714992199754,1,,132,100
96,585,1385,0.6345849525521391,1,,130,100
97,588,1388,0.6804898070064224,1,,129,100
98,591,1391,0.7202762502549974,1,,128,100
99,594,1394,0.6954060227951862,1,,128,100
100,600,1400,0.7495018835515225,1,,126,100
101,604,1404,0.7482951830831391,1,,125,100
102,607,1407,0.6699208030687193,1,,123,100
103,622,1422,0.6055147649427564,1,,120,100
104,625,1425,0.6035891515453045,1,,120,100
105,636,1436,0.6392757635245968,1,,117,100
106,639,1439,0.6001994707225636,1,,116,100
107,643,1443,0.5544428966035179,1,,115,100
108,651,1451,0.5989686688346962,1,,114,100
109,655,1455,0.5298417073106714,1,,113,100
110,662,1462,0.5906144462302164,1,,112,100
111,669,1469,0.5615092636961456,1,,111,100
112,672,1472,0.6245980713214802,1,,110,100
113,677,1477,0.24524581731423026,1,,108,100
114,686,1486,0.14217635020638678,1,,107,100
115,692,1492,0.2273151295875794,1,,106,100
116,702,1502,0.22795778119472368,1,,105,100
117,708,1508,0.09857727618642456,1,,101,100
118,712,1512,0.05840889274307028,1,,101,100
