window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.2475479500889058e-30,0,,195,100
1,10,810,4.818383059199572e-32,0,,194,100
2,20,820,1.5047193787144484e-38,0,,193,100
3,30,830,7.928570759643739e-34,0,,194,100
4,40,840,4.476289158104736e-37,0,,192,100
5,50,850,2.8213148950702244e-38,0,,193,100
6,60,860,7.429362939685124e-42,0,,193,100
7,70,870,1.906213443330415e-40,0,,193,100
8,80,880,1.3038009998803023e-37,0,,196,100
9,90,890,9.93595868820203e-49,0,,193,100
10,100,900,9.182781223332274e-50,0,,194,100
11,110,910,3.703679657803737e-54,0,,193,100
12,120,920,6.1586563510577116e-55,0,,192,100
13,130,930,1.0976422329107939e-53,0,,194,100
14,140,940,2.935764994204195e-51,0,,194,100
15,150,950,1.0017413620994734e-50,0,,194,100
16,160,960,9.708808337581554e-49,0,,196,100
17,170,970,8.587425479150504e-48,0,,195,100
18,180,980,7.194788759391735e-47,0,,193,100
19,190,990,1.1039141234660086e-46,0,,196,100
20,200,1000,5.653772741526721e-50,0,,196,100
21,210,1010,2.034235691890771e-46,0,,197,100
22,220,1020,1.5062274560671564e-45,0,,197,100
23,230,1030,4.1501677248328604e-46,0,,197,100
24,240,1040,1.0634403126101817e-41,0,,197,100
25,250,1050,2.751757230590174e-47,0,,198,100
26,260,1060,4.191149024498312e-52,0,,198,100
27,270,1070,1.446922632034174e-53,0,,198,100
28,280,1080,4.072944820554754e-54,0,,200,100
29,290,1090,4.815893832811978e-56,0,,199,100
30,300,1100,5.362179662625457e-57,0,,200,100
31,310,1110,1.9788760883542434e-52,0,,198,100
32,320,1120,4.512384929267581e-52,0,,198,100
33,330,1130,4.0295919107592804e-49,0,,196,100
34,340,1140,1.4895419766677462e-48,0,,196,100
35,350,1150,8.120301892695513e-49,0,,198,100
36,360,1160,2.2496768266443357e-49,0,,198,100
37,370,1170,7.811566276097298e-50,0,,197,100
38,380,1180,5.378108531906772e-48,0,,195,100
39,390,1190,4.104105664275483e-51,0,,194,100
40,400,1200,5.928033311622861e-52,0,,193,100
41,410,1210,3.657838208003694e-55,0,,192,100
42,420,1220,4.6593797705712165e-52,0,,193,100
43,430,1230,1.344808885298837e-52,0,,193,100
44,440,1240,2.614639884567508e-54,0,,195,100
45,450,1250,1.172914650968869e-50,0,,195,100
46,460,1260,2.2428547020949077e-46,0,,195,100
47,470,1270,3.1622924767372948e-49,0,,196,100
48,480,1280,2.878149080031756e-51,0,,192,100
49,490,1290,2.0242545700812233e-50,0,,195,100
50,500,1300,9.703542881583682e-49,0,,197,100
51,510,1310,4.7697835037626084e-48,0,,196,100
52,520,1320,2.0906365035513304e-50,0,,196,100
53,530,1330,1.959991330528291e-52,0,,196,100
54,540,1340,6.39624662910573e-55,0,,195,100
55,550,1350,3.1834130228452156e-57,0,,193,100
56,560,1360,1.0959792906473766e-54,0,,192,100
57,570,1370,1.1551715280306564e-56,0,,193,100
58,580,1380,1.9659428669793644e-52,0,,190,100
59,590,1390,2.741424387592505e-54,0,,192,100
60,600,1400,5.3050369560765976e-55,0,,189,100
61,610,1410,2.8027846586422287e-51,0,,191,100
62,620,1420,4.7366722320683205e-52,0,,192,100
63,630,1430,4.3197094718815966e-52,0,,192,100
64,640,1440,8.167495674777945e-58,0,,193,100
65,650,1450,1.7633414740569694e-53,0,,194,100
66,660,1460,4.751092834509183e-52,0,,193,100
67,670,1470,5.675757533189195e-49,0,,192,100
68,680,1480,9.851844608344883e-48,0,,192,100
69,690,1490,2.5889755015163265e-50,0,,191,100
