window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,5.382918324550629e-44,0,,156,100
1,10,810,1.2930088270179813e-44,0,,155,100
2,20,820,4.319450139518157e-49,0,,153,100
3,30,830,3.452319853907935e-58,0,,150,100
4,40,840,7.239242876765345e-67,0,,148,100
5,50,850,7.023979454100136e-68,0,,146,100
6,60,860,1.7966056687851415e-73,0,,144,100
7,70,870,2.7743833168022357e-68,0,,142,100
8,80,880,1.3986656519517473e-68,0,,144,100
9,90,890,1.57618343370002e-69,0,,143,100
10,100,900,3.441862402264306e-64,0,,142,100
11,110,910,1.3236366905546515e-65,0,,142,100
12,120,920,1.4963172546860332e-67,0,,144,100
13,130,930,7.338477320320913e-71,0,,143,100
14,140,940,1.2111026078269276e-69,0,,144,100
15,150,950,1.6174199485976648e-66,0,,144,100
16,160,960,2.523991745180699e-66,0,,144,100
17,170,970,7.956018261552142e-67,0,,142,100
18,180,980,2.782784496027934e-71,0,,142,100
19,190,990,4.420938979616459e-72,0,,144,100
20,200,1000,4.5486439339143994e-71,0,,144,100
21,210,1010,1.004846924570664e-70,0,,141,100
22,220,1020,1.3114413968242746e-68,0,,140,100
23,230,1030,1.1833388574089638e-68,0,,143,100
24,240,1040,3.538158083568401e-66,0,,142,100
25,250,1050,5.0769652435831115e-61,0,,142,100
26,260,1060,7.697474517540971e-61,0,,142,100
27,270,1070,3.2492953217880895e-63,0,,143,100
28,280,1080,1.7005883937707647e-56,0,,140,100
29,290,1090,4.443951601277823e-60,0,,140,100
30,300,1100,4.483660371051883e-62,0,,139,100
31,310,1110,5.681720393484596e-62,0,,138,100
32,320,1120,3.922370071940631e-62,0,,138,100
33,330,1130,3.405482267181758e-63,0,,138,100
34,340,1140,3.848921623633163e-62,0,,136,100
35,350,1150,1.2709258939342228e-64,0,,137,100
36,360,1160,6.547514057252913e-64,0,,139,100
37,370,1170,6.167126052895529e-60,0,,138,100
38,380,1180,4.230372861742431e-58,0,,139,100
39,390,1190,1.152724370931305e-59,0,,139,100
40,400,1200,1.9694300918937892e-59,0,,140,100
41,410,1210,1.5154777265635703e-63,0,,140,100
42,420,1220,7.645138964804877e-66,0,,142,100
43,430,1230,9.84124566374461e-66,0,,141,100
44,440,1240,1.8599231066048363e-63,0,,142,100
45,450,1250,3.643051948473082e-61,0,,143,100
46,460,1260,2.1323719133205904e-57,0,,142,100
47,470,1270,1.5313773356653162e-58,0,,143,100
48,480,1280,1.8898020090899658e-56,0,,144,100
49,490,1290,9.886942991811585e-56,0,,143,100
50,500,1300,1.762442861694061e-55,0,,146,100
51,510,1310,1.8554536287495707e-57,0,,147,100
52,520,1320,8.871515854695559e-58,0,,144,100
53,530,1330,1.6023274662447343e-57,0,,145,100
54,540,1340,9.323786624039575e-58,0,,148,100
55,550,1350,7.783078157897672e-52,0,,148,100
56,560,1360,4.6455597506479565e-48,0,,152,100
57,570,1370,3.139285552677976e-49,0,,152,100
58,580,1380,1.0330153692297132e-45,0,,153,100
59,590,1390,4.4734904656087086e-43,0,,155,100
60,600,1400,3.744471606439294e-43,0,,157,100
61,610,1410,1.9196025885797437e-41,0,,156,100
62,620,1420,1.7215877646410405e-42,0,,157,100
63,630,1430,4.587008840798701e-43,0,,157,100
64,640,1440,8.343282231203486e-43,0,,160,100
65,650,1450,3.734439076663669e-43,0,,161,100
66,660,1460,8.234321900291367e-44,0,,167,100
67,670,1470,4.957458908551851e-41,0,,169,100
68,680,1480,4.0857492782165844e-42,0,,173,100
69,690,1490,7.979160299611521e-45,0,,173,100
70,700,1500,1.8078826095577146e-48,0,,175,100
71,710,1510,6.287852380245268e-48,0,,174,100
72,720,1520,1.6967619679152003e-46,0,,178,100
73,730,1530,9.453180688581615e-44,0,,182,100
74,740,1540,3.8429745703331935e-41,0,,182,100
75,750,1550,2.956113742150463e-40,0,,182,100
76,760,1560,1.1849365973583348e-39,0,,182,100
77,770,1570,2.3968431496453115e-43,0,,181,100
78,780,1580,5.985906619292413e-43,0,,180,100
79,790,1590,2.3811336158675407e-42,0,,182,100
80,800,1600,5.524750306538043e-43,0,,182,100
81,810,1610,1.280332335004855e-42,0,,181,100
82,820,1620,8.435615432434894e-43,0,,183,100
83,830,1630,9.876091133530323e-39,0,,185,100
84,840,1640,3.518067215211352e-39,0,,185,100
