window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.007574793311366647,1,,214,100
1,10,810,0.0031593095148608067,1,,209,100
2,20,820,0.0004777883134492614,0,,208,100
3,30,830,0.00014214320341997177,0,,207,100
4,40,840,8.926814196093071e-05,0,,206,100
5,50,850,7.184623182849045e-16,0,,204,100
6,60,860,8.599029191041167e-19,0,,208,100
7,70,870,2.0018187825908678e-25,0,,209,100
8,80,880,1.2335940476769838e-17,0,,208,100
9,90,890,3.2148933066051106e-24,0,,208,100
10,100,900,1.1316666086731988e-40,0,,208,100
11,110,910,4.759938010539225e-15,0,,207,100
12,120,920,4.996483247146181e-13,0,,204,100
13,130,930,8.10236083783195e-17,0,,206,100
14,140,940,1.778105253095786e-21,0,,205,100
15,150,950,1.1613715799531314e-49,0,,205,100
16,160,960,2.3344055818334813e-49,0,,203,100
17,170,970,1.0424200535981108e-49,0,,202,100
18,180,980,3.581765989371948e-51,0,,200,100
19,190,990,3.2191637919981823e-48,0,,201,100
20,200,1000,5.11135598004439e-46,0,,198,100
21,210,1010,6.621598453652457e-48,0,,197,100
22,220,1020,2.2654725640702252e-48,0,,197,100
23,230,1030,1.2562998517056277e-50,0,,196,100
24,240,1040,3.298078054028482e-47,0,,197,100
25,250,1050,2.5861149783208017e-47,0,,196,100
26,260,1060,1.371021979432792e-46,0,,197,100
27,270,1070,8.726230980549223e-45,0,,197,100
28,280,1080,5.541561076055539e-45,0,,198,100
29,290,1090,4.776803785130601e-45,0,,197,100
30,300,1100,1.0869112567645479e-45,0,,200,100
31,310,1110,5.235042549868349e-42,0,,199,100
32,320,1120,6.171132870330768e-41,0,,199,100
33,330,1130,2.951308793420154e-37,0,,198,100
34,340,1140,1.7383739441609297e-38,0,,197,100
35,350,1150,8.320472480286623e-37,0,,198,100
36,360,1160,7.218833209750176e-34,0,,198,100
37,370,1170,1.4448484868282776e-32,0,,196,100
38,380,1180,1.0612881346956635e-26,0,,196,100
39,390,1190,2.44686049837049e-27,0,,200,100
40,400,1200,6.608715350680625e-26,0,,196,100
41,410,1210,8.271762849596632e-26,0,,197,100
42,420,1220,4.647495118303349e-27,0,,198,100
43,430,1230,4.3224735238064055e-27,0,,197,100
44,440,1240,1.4123388300025996e-25,0,,196,100
45,450,1250,1.5225529349509536e-26,0,,197,100
46,460,1260,2.8445725021966266e-28,0,,198,100
47,470,1270,8.139508017081939e-30,0,,197,100
48,480,1280,6.6865648377340035e-31,0,,197,100
49,490,1290,1.1683266277886057e-35,0,,195,100
50,500,1300,4.4020243018448796e-35,0,,196,100
51,510,1310,1.6959103347325216e-36,0,,195,100
52,520,1320,9.788702658890972e-37,0,,194,100
53,530,1330,4.697527134132519e-36,0,,196,100
54,540,1340,1.1848067195730448e-36,0,,197,100
55,550,1350,1.3317706561834128e-32,0,,195,100
56,560,1360,4.7486172558643085e-33,0,,197,100
57,570,1370,1.2141657615807363e-33,0,,198,100
58,580,1380,3.210628449280423e-34,0,,200,100
59,590,1390,1.4478024996138623e-34,0,,203,100
60,600,1400,3.515735287140776e-36,0,,203,100
61,610,1410,2.1229817856463862e-36,0,,204,100
