window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.43975923318269494,1,,165,100
1,10,810,0.4372922841574837,1,,165,100
2,20,820,0.023562591712726053,1,,162,100
3,30,830,0.022482883887150633,1,,159,100
4,40,840,0.015481219426677803,1,,160,100
5,50,850,0.01459649409375985,1,,163,100
6,60,860,0.024531267530327798,1,,163,100
7,70,870,0.015427981282184117,1,,164,100
8,80,880,0.0144856348378227,1,,163,100
9,90,890,0.013378070804134815,1,,162,100
10,100,900,0.010048272795790583,1,,160,100
11,110,910,0.006975279073637807,1,,161,100
12,120,920,0.002396947932656817,1,,161,100
13,130,930,0.016069755192906033,1,,160,100
14,140,940,0.011181975374613396,1,,162,100
15,150,950,0.012675635802085241,1,,163,100
16,160,960,0.008642656983289506,1,,163,100
17,170,970,0.004489326628940022,1,,164,100
18,180,980,0.0052847755905936706,1,,166,100
19,190,990,0.005871769314801158,1,,166,100
20,200,1000,0.007432264980302927,1,,167,100
21,210,1010,0.004384815524354832,1,,166,100
22,220,1020,0.003925284554294119,1,,167,100
23,230,1030,0.0028518930007160256,1,,166,100
24,240,1040,0.0032498999929844487,1,,165,100
25,250,1050,0.0009346523201284862,0,,165,100
26,260,1060,0.009133967695864198,1,,163,100
27,270,1070,0.08273404556677627,1,,163,100
28,280,1080,0.1148277618445389,1,,164,100
29,290,1090,0.15714897834300182,1,,165,100
30,300,1100,0.1139322821875607,1,,164,100
31,310,1110,0.1228431592700762,1,,165,100
32,320,1120,0.1575096268500277,1,,165,100
33,330,1130,0.10281264573435953,1,,165,100
34,340,1140,0.08533747598291133,1,,164,100
35,350,1150,0.06833438727276078,1,,164,100
36,360,1160,0.053753619235159075,1,,164,100
37,370,1170,0.06233272941517001,1,,165,100
38,380,1180,0.03131897533513208,1,,165,100
39,390,1190,0.007816445436796202,1,,165,100
40,400,1200,0.013167525691350282,1,,163,100
41,410,1210,0.048879754175275694,1,,164,100
42,420,1220,0.0833101949196027,1,,163,100
43,430,1230,0.04524110604850298,1,,164,100
44,440,1240,0.10122843522009636,1,,164,100
45,450,1250,0.0111877661030385,1,,166,100
46,460,1260,0.021831529259160595,1,,165,100
47,470,1270,0.05617101691902988,1,,165,100
48,480,1280,0.06303114742308619,1,,164,100
49,490,1290,0.09663089361613661,1,,163,100
50,500,1300,0.28689128236670614,1,,163,100
51,510,1310,0.3079677808516199,1,,160,100
52,520,1320,0.38504413925817627,1,,163,100
53,530,1330,0.2387194173085003,1,,162,100
54,540,1340,0.3003776488574699,1,,160,100
55,550,1350,0.2985902329790668,1,,158,100
56,560,1360,0.2750083820594756,1,,157,100
57,570,1370,0.2722068019965562,1,,159,100
58,580,1380,0.2243586096595109,1,,159,100
59,590,1390,0.29494925447103737,1,,161,100
60,600,1400,0.5710310137951009,1,,160,100
61,610,1410,0.5505246067547377,1,,161,100
62,620,1420,0.4972601117937616,1,,160,100
63,630,1430,0.40245183166622334,1,,159,100
64,640,1440,0.35160337882680404,1,,159,100
65,650,1450,0.3460755334853094,1,,159,100
66,660,1460,0.15901233808275664,1,,159,100
67,670,1470,0.17393830520323988,1,,159,100
68,680,1480,0.16886606105534133,1,,160,100
69,690,1490,0.1320643627037174,1,,160,100
70,700,1500,0.22051583185225357,1,,158,100
71,710,1510,0.15673796266995887,1,,160,100
72,720,1520,0.3023869540199025,1,,160,100
73,730,1530,0.288331469585789,1,,160,100
74,740,1540,0.20632292850595246,1,,159,100
75,750,1550,0.12293519236606729,1,,161,100
76,760,1560,0.15605449094391236,1,,159,100
77,770,1570,0.1475089819349224,1,,160,100
78,780,1580,0.07067864879374322,1,,160,100
79,790,1590,0.10924299986021554,1,,161,100
80,800,1600,0.1275908012813121,1,,159,100
81,810,1610,0.13701372445805318,1,,161,100
82,820,1620,0.11035202514217145,1,,163,100
83,830,1630,0.1111549251766576,1,,162,100
84,840,1640,0.07705311922127327,1,,163,100
85,850,1650,0.08616393516526519,1,,165,100
86,860,1660,0.06260930681112113,1,,164,100
87,870,1670,0.04122921553454919,1,,164,100
88,880,1680,0.034234563327625665,1,,166,100
89,890,1690,0.08103677252496372,1,,167,100
90,900,1700,0.040042931221031884,1,,167,100
91,910,1710,0.06971131333680942,1,,168,100
92,920,1720,0.4721837839060985,1,,165,100
93,930,1730,0.47382155220140554,1,,163,100
94,940,1740,0.4869561310303358,1,,164,100
95,950,1750,0.48487253497837346,1,,164,100
96,960,1760,0.570814643233753,1,,163,100
97,970,1770,0.5161175121617207,1,,162,100
98,980,1780,0.4937365834835311,1,,162,100
99,990,1790,0.512415312533461,1,,163,100
100,1000,1800,0.5189234021047407,1,,164,100
