window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.684803168568826e-16,0,,195,100
1,10,810,3.212507379260617e-20,0,,196,100
2,20,820,6.837429361742336e-24,0,,194,100
3,30,830,4.839029761774856e-31,0,,193,100
4,40,840,6.671770851883444e-34,0,,189,100
5,50,850,3.151276692115177e-33,0,,187,100
6,60,860,8.450310275811458e-31,0,,185,100
7,70,870,4.556014901002413e-30,0,,185,100
8,80,880,1.1774710314503956e-34,0,,183,100
9,90,890,7.055058328465856e-38,0,,182,100
10,100,900,3.1908058517718203e-37,0,,183,100
11,110,910,6.695223235592869e-38,0,,183,100
12,120,920,2.414180629186093e-38,0,,185,100
13,130,930,9.324031782843939e-39,0,,185,100
14,140,940,2.238189021696519e-37,0,,184,100
15,150,950,1.275420777047681e-38,0,,184,100
16,160,960,7.009867065697278e-38,0,,183,100
17,170,970,3.53233772065975e-39,0,,185,100
18,180,980,6.551021044572793e-37,0,,185,100
19,190,990,3.522399375742827e-38,0,,186,100
20,200,1000,6.838401696599578e-37,0,,187,100
21,210,1010,7.94083820887258e-37,0,,189,100
22,220,1020,3.032334351334488e-39,0,,189,100
23,230,1030,6.533180198311703e-38,0,,190,100
24,240,1040,1.1233881442333525e-36,0,,191,100
25,250,1050,2.589504133371696e-37,0,,192,100
26,260,1060,3.4220017603187746e-36,0,,194,100
27,270,1070,3.653608621756598e-34,0,,194,100
28,280,1080,1.4491891988221728e-33,0,,193,100
29,290,1090,4.574965481126021e-34,0,,195,100
30,300,1100,1.9429912315194127e-40,0,,193,100
31,310,1110,1.1713460229391093e-40,0,,190,100
32,320,1120,4.628510755065185e-39,0,,189,100
33,330,1130,1.718954714820252e-36,0,,190,100
34,340,1140,4.339537067517727e-37,0,,194,100
35,350,1150,1.4281371722944557e-37,0,,190,100
36,360,1160,6.434556620212162e-38,0,,190,100
37,370,1170,1.6248974034953254e-38,0,,193,100
38,380,1180,5.604705639523701e-38,0,,192,100
39,390,1190,7.79170193475266e-41,0,,191,100
40,400,1200,9.791332795300456e-43,0,,190,100
41,410,1210,6.375381563830442e-44,0,,192,100
42,420,1220,4.945739215870083e-42,0,,191,100
43,430,1230,2.861660520928873e-43,0,,192,100
44,440,1240,6.715936671687264e-44,0,,192,100
45,450,1250,3.37670311792547e-41,0,,191,100
46,460,1260,8.629339358496931e-44,0,,190,100
47,470,1270,2.5372451682709477e-41,0,,189,100
48,480,1280,2.4416221408162133e-43,0,,187,100
49,490,1290,1.3252556161087282e-39,0,,187,100
50,500,1300,5.67184640963033e-40,0,,189,100
51,510,1310,1.7642545984041192e-40,0,,190,100
52,520,1320,5.816506802055552e-41,0,,190,100
53,530,1330,1.1455030180416533e-39,0,,190,100
54,540,1340,3.035221338630412e-40,0,,193,100
55,550,1350,7.601274336933034e-39,0,,191,100
56,560,1360,1.3062539409289254e-38,0,,192,100
57,570,1370,1.1710499503764168e-36,0,,193,100
58,580,1380,1.5606820627685645e-36,0,,192,100
59,590,1390,2.0534820454456e-36,0,,194,100
60,600,1400,2.208572077228372e-37,0,,193,100
61,610,1410,8.855914285123498e-38,0,,192,100
62,620,1420,4.917115618785655e-37,0,,192,100
63,630,1430,5.800512366336478e-34,0,,191,100
64,640,1440,1.7060994587161822e-33,0,,191,100
65,650,1450,2.5045396086362425e-32,0,,193,100
66,660,1460,4.6809270624715424e-35,0,,191,100
67,670,1470,1.599088539673152e-33,0,,190,100
68,680,1480,1.3420455744364982e-33,0,,190,100
69,690,1490,1.3643435769095396e-34,0,,191,100
70,700,1500,5.8635338982037496e-39,0,,190,100
71,710,1510,2.7791322728849817e-39,0,,192,100
72,720,1520,2.2667687539191823e-37,0,,194,100
73,730,1530,1.3638179156004166e-36,0,,196,100
74,740,1540,7.566950892850689e-40,0,,196,100
75,750,1550,1.762346571170859e-44,0,,198,100
76,760,1560,1.6363241215390196e-46,0,,196,100
77,770,1570,3.445108663292298e-47,0,,194,100
78,780,1580,4.397453072769536e-47,0,,195,100
79,790,1590,1.0301697193216561e-46,0,,195,100
80,800,1600,1.6544128240369086e-45,0,,195,100
81,810,1610,1.2764485300724862e-48,0,,194,100
