window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.7787964285132911,1,,160,100
1,10,810,0.6008573116378546,1,,160,100
2,20,820,0.5692191358813421,1,,160,100
3,30,830,0.5542343976731859,1,,159,100
4,40,840,0.5552162712406848,1,,160,100
5,50,850,0.5586222296702211,1,,158,100
6,60,860,0.5211620795098081,1,,158,100
7,70,870,0.49476919923545437,1,,159,100
8,80,880,0.552282933252266,1,,158,100
9,90,890,0.5157663141566751,1,,159,100
10,100,900,0.49003804761076547,1,,161,100
11,110,910,0.5216615096640302,1,,160,100
12,120,920,0.4972770292929152,1,,161,100
13,130,930,0.5490982676118555,1,,162,100
14,140,940,0.540222151280091,1,,162,100
15,150,950,0.41404309989063387,1,,162,100
16,160,960,0.4029037222931808,1,,162,100
17,170,970,0.4038309542585223,1,,163,100
18,180,980,0.4279518054904775,1,,163,100
19,190,990,0.43853845417889875,1,,165,100
20,200,1000,0.44792375506364895,1,,165,100
21,210,1010,0.7341174015653383,1,,166,100
22,220,1020,0.34390082170188646,1,,169,100
23,230,1030,0.7355212040367051,1,,166,100
24,240,1040,0.8066401671381556,1,,162,100
25,250,1050,0.7903984204594293,1,,160,100
26,260,1060,0.7768142922185031,1,,157,100
27,270,1070,0.7892043740730234,1,,154,100
28,280,1080,0.7936276874342983,1,,154,100
29,290,1090,0.7360015818537808,1,,152,100
30,300,1100,0.7667033021839014,1,,147,100
31,310,1110,0.8102640546295011,1,,145,100
32,320,1120,0.8131949167561763,1,,142,100
33,330,1130,0.9117653396635608,1,,140,100
34,340,1140,0.8967371279865516,1,,139,100
35,350,1150,0.9037461837957814,1,,137,100
36,360,1160,0.9085335140893419,1,,134,100
37,370,1170,0.9165687042864615,1,,133,100
38,380,1180,0.8915778448353454,1,,132,100
39,390,1190,0.8545782693427374,1,,129,100
40,400,1200,0.9013929966513926,1,,126,100
41,410,1210,0.9035927264236735,1,,124,100
42,420,1220,0.8960875342065899,1,,123,100
43,430,1230,0.8922366029826445,1,,122,100
44,440,1240,0.8783822307131096,1,,118,100
45,450,1250,0.9209137170829621,1,,116,100
46,460,1260,0.9172582528309469,1,,115,100
47,470,1270,0.9387303280716849,1,,112,100
48,480,1280,0.9104907278613489,1,,112,100
49,490,1290,0.921833536983553,1,,110,100
50,500,1300,0.9348540997915981,1,,108,100
51,510,1310,0.9291216211640475,1,,106,100
52,520,1320,0.9576683736922628,1,,104,100
53,530,1330,0.9096940177514791,1,,104,100
54,540,1340,0.9281782428602742,1,,102,100
55,550,1350,0.9277469061387098,1,,100,100
