window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.0,0,,273,100
1,6,806,0.0,0,,271,100
2,12,812,0.0,0,,271,100
3,18,818,0.0,0,,271,100
4,22,822,0.0,0,,272,100
5,28,828,0.0,0,,272,100
6,40,840,0.0,0,,273,100
7,51,851,0.0,0,,272,100
8,57,857,0.0,0,,272,100
9,61,861,0.0,0,,272,100
10,64,864,0.0,0,,273,100
11,72,872,0.0,0,,274,100
12,79,879,0.0,0,,274,100
13,90,890,0.0,0,,275,100
14,93,893,0.0,0,,276,100
15,100,900,0.0,0,,276,100
16,103,903,0.0,0,,277,100
17,110,910,0.0,0,,276,100
18,116,916,0.0,0,,277,100
19,124,924,0.0,0,,276,100
20,127,927,0.0,0,,276,100
21,132,932,0.0,0,,275,100
22,135,935,0.0,0,,276,100
23,141,941,0.0,0,,277,100
24,149,949,0.0,0,,276,100
25,154,954,0.0,0,,276,100
26,162,962,0.0,0,,278,100
27,175,975,0.0,0,,278,100
28,183,983,0.0,0,,277,100
29,191,991,0.0,0,,274,100
30,196,996,0.0,0,,272,100
31,199,999,0.0,0,,272,100
32,207,1007,0.0,0,,269,100
33,210,1010,0.0,0,,267,100
34,213,1013,0.0,0,,267,100
35,221,1021,0.0,0,,265,100
36,232,1032,0.0,0,,261,100
37,237,1037,0.0,0,,259,100
38,242,1042,0.0,0,,257,100
39,248,1048,0.0,0,,255,100
40,254,1054,0.0,0,,253,100
41,257,1057,2.55146099820189e-13,0,,253,100
42,271,1071,4.843134428497773e-10,0,,248,100
43,274,1074,3.5183905030587464e-10,0,,247,100
44,284,1084,9.907178288292857e-07,0,,244,100
45,290,1090,8.048139688780769e-06,0,,242,100
46,295,1095,5.760916102443104e-06,0,,241,100
47,301,1101,1.0375015740988314e-05,0,,239,100
48,311,1111,4.128970785964224e-05,0,,235,100
49,321,1121,3.862512488494695e-05,0,,233,100
50,326,1126,6.680544812163134e-05,0,,231,100
51,335,1135,0.024266026234009884,1,,227,100
52,345,1145,0.042762136594135684,1,,223,100
53,349,1149,0.045319559521272625,1,,222,100
54,359,1159,0.0949997117835828,1,,220,100
55,364,1164,0.07782588416851699,1,,218,100
56,367,1167,0.07047602850443722,1,,217,100
57,373,1173,0.0657162250860959,1,,215,100
58,377,1177,0.08931926003066218,1,,214,100
59,385,1185,0.06247644643926398,1,,212,100
60,394,1194,0.09682889860577569,1,,210,100
61,401,1201,0.10124109859052773,1,,207,100
62,406,1206,0.001830055209855923,1,,206,100
63,409,1209,0.0011397762269377246,1,,205,100
64,413,1213,0.0016750186485632633,1,,205,100
65,422,1222,5.492445190292811e-09,0,,200,100
66,428,1228,5.262904383022303e-09,0,,197,100
67,431,1231,2.450899083891816e-11,0,,196,100
68,438,1238,0.0,0,,192,100
69,443,1243,0.0,0,,191,100
70,450,1250,0.0,0,,189,100
71,458,1258,0.0,0,,187,100
72,467,1267,0.0,0,,184,100
73,474,1274,1.9624142005866228e-10,0,,181,100
74,481,1281,2.0543806431204749e-10,0,,178,100
75,487,1287,1.90641379286773e-10,0,,176,100
76,493,1293,2.1881187165523511e-10,0,,174,100
77,500,1300,8.069861276679043e-11,0,,170,100
78,512,1312,6.935470923991779e-11,0,,166,100
79,517,1317,7.576555198148573e-11,0,,164,100
80,527,1327,7.6041393434334e-11,0,,160,100
81,532,1332,1.0877808172098951e-10,0,,158,100
82,540,1340,1.9387642954546563e-09,0,,155,100
83,544,1344,2.305762873006248e-09,0,,154,100
84,550,1350,2.0884593394915302e-06,0,,150,100
85,558,1358,2.219254945140569e-10,0,,147,100
86,567,1367,3.884992699187361e-09,0,,144,100
87,579,1379,1.9924781963052696e-09,0,,141,100
88,586,1386,9.137275536829144e-11,0,,138,100
89,592,1392,1.4275864096061435e-10,0,,137,100
90,599,1399,9.501276434507192e-11,0,,136,100
91,606,1406,5.4269657580802437e-11,0,,134,100
92,615,1415,1.2353765748499045e-10,0,,130,100
93,618,1418,1.212583267894516e-10,0,,129,100
94,625,1425,1.1221928384456624e-10,0,,126,100
95,634,1434,7.698859522901973e-11,0,,123,100
96,638,1438,6.411282950432682e-11,0,,122,100
97,646,1446,1.2961733562870546e-11,0,,119,100
98,654,1454,1.5686351365730945e-10,0,,116,100
99,658,1458,1.1780160735926005e-10,0,,115,100
100,667,1467,4.410363109335643e-10,0,,112,100
101,678,1478,3.874202121921116e-10,0,,108,100
102,682,1482,9.937477240479213e-11,0,,106,100
103,686,1486,3.0217148480759303e-10,0,,105,100
104,693,1493,2.422070036533929e-10,0,,101,100
